SYMBOL,SUM_RANK,TIME
NOT_INVEST,3116362.0,2018
AAA,1205377.0,2018
AAM,1537176.0,2018
ABT,1559410.0,2018
ACC,1201580.0,2018
ACL,810865.0,2018
ADS,1111612.0,2018
AGF,953185.0,2018
AGM,1121265.0,2018
AMD,1664989.0,2018
ANV,1183841.0,2018
APC,1704596.0,2018
ASM,1755590.0,2018
ASP,1647809.0,2018
AST,1586235.0,2018
ATG,1702778.0,2018
BBC,1712611.0,2018
BCE,1038135.0,2018
BCG,1375641.0,2018
BFC,1280682.0,2018
BHN,1964267.0,2018
BMC,1452762.0,2018
BMP,1652024.0,2018
BRC,1431031.0,2018
BTP,1385188.0,2018
BTT,1753635.0,2018
BWE,1496903.0,2018
C32,1684548.0,2018
C47,441219.0,2018
CAV,1372713.0,2018
CCI,2062183.0,2018
CCL,1671650.0,2018
CDC,1351363.0,2018
CDO,1634250.0,2018
CEE,1352322.0,2018
CHP,1650334.0,2018
CIG,797479.0,2018
CII,1830081.0,2018
CLC,1156077.0,2018
CLG,1939186.0,2018
CLL,1809195.0,2018
CLW,1402706.0,2018
CMG,1819583.0,2018
CMT,1353707.0,2018
CMV,917868.0,2018
CMX,746867.0,2018
CNG,1705664.0,2018
COM,1580227.0,2018
CSM,743755.0,2018
CSV,1656257.0,2018
CTD,1696499.0,2018
CTF,985853.0,2018
CTI,1461760.0,2018
CVT,1348041.0,2018
D2D,1587070.0,2018
DAG,1020468.0,2018
DAH,1311908.0,2018
DAT,1871873.0,2018
DCL,1748114.0,2018
DCM,1580723.0,2018
DGW,1244405.0,2018
DHA,1888053.0,2018
DHC,1529077.0,2018
DHG,1626882.0,2018
DHM,1084825.0,2018
DIC,932837.0,2018
DIG,1293833.0,2018
DLG,1687319.0,2018
DMC,1647559.0,2018
DPM,2007490.0,2018
DPR,2203315.0,2018
DQC,1583331.0,2018
DRC,1254903.0,2018
DRH,1219941.0,2018
DRL,1692617.0,2018
DSN,1784162.0,2018
DTA,1560072.0,2018
DTL,1301799.0,2018
DTT,1525754.0,2018
