SYMBOL,SUM_RANK,TIME
NOT_INVEST,2783659.0,2016
AAM,1527422.0,2016
ABT,1413033.0,2016
ACC,1526509.0,2016
ACL,707010.0,2016
AGF,829168.0,2016
AGM,1191195.0,2016
AMD,1671422.0,2016
ANV,1169081.0,2016
APC,1635259.0,2016
ASM,1422535.0,2016
ASP,1623053.0,2016
ATA,1209708.0,2016
BBC,1506987.0,2016
BCE,545747.0,2016
BCG,1498931.0,2016
BCI,1287320.0,2016
BFC,962276.0,2016
BGM,2166091.0,2016
BHS,1223453.0,2016
BMC,1294761.0,2016
BMP,1405739.0,2016
BRC,1595169.0,2016
BTP,1572677.0,2016
BTT,1733653.0,2016
C32,1428064.0,2016
C47,320192.0,2016
CAV,1028182.0,2016
CCI,1820837.0,2016
CCL,1478557.0,2016
CDC,791860.0,2016
CDO,1562896.0,2016
CIG,404185.0,2016
CII,1705553.0,2016
CLC,1136086.0,2016
CLG,1485930.0,2016
CLL,1701431.0,2016
CLW,1422244.0,2016
CMG,1562413.0,2016
CMT,959067.0,2016
CMV,845089.0,2016
CMX,741726.0,2016
CNG,1430646.0,2016
COM,1605923.0,2016
CSM,952732.0,2016
CSV,1303162.0,2016
CTD,1636253.0,2016
CTI,1279386.0,2016
CYC,412423.0,2016
D2D,1294109.0,2016
DAG,1029481.0,2016
DAT,1433568.0,2016
DCL,1363869.0,2016
DCM,1342003.0,2016
DGW,967319.0,2016
DHA,1936667.0,2016
DHC,1485904.0,2016
DHG,1364942.0,2016
DHM,1683958.0,2016
DIC,1069044.0,2016
DIG,1253293.0,2016
DLG,1306543.0,2016
DMC,1325263.0,2016
DPM,1638011.0,2016
DPR,2156770.0,2016
DQC,1453118.0,2016
DRC,1126126.0,2016
DRH,1798079.0,2016
DRL,1506737.0,2016
DSN,1630193.0,2016
DTA,2021663.0,2016
DTL,891135.0,2016
DTT,1554400.0,2016
DVP,1590932.0,2016
DXG,1464385.0,2016
DXV,1312540.0,2016
ELC,1524912.0,2016
EMC,988205.0,2016
EVE,1329757.0,2016
FCM,1286194.0,2016
FCN,1397528.0,2016
FDC,1699414.0,2016
FIT,1797228.0,2016
FLC,1974752.0,2016
FMC,889950.0,2016
FPT,1337376.0,2016
GAS,1646089.0,2016
GDT,1366554.0,2016
GIL,1330063.0,2016
GMC,1171932.0,2016
GMD,1960135.0,2016
GSP,1548741.0,2016
GTA,1675786.0,2016
GTN,1614508.0,2016
GTT,871926.0,2016
HAG,1511816.0,2016
HAH,1486860.0,2016
HAI,1311558.0,2016
HAP,1964845.0,2016
HAR,2352773.0,2016
HAS,1642324.0,2016
HAX,933571.0,2016
HBC,998931.0,2016
HDC,952216.0,2016
HDG,1393914.0,2016
HHS,1703028.0,2016
HLG,1412731.0,2016
HMC,1101341.0,2016
HNG,1406711.0,2016
HOT,1529912.0,2016
HPG,1428042.0,2016
HQC,1628722.0,2016
HRC,1705094.0,2016
HSG,907114.0,2016
HT1,1184655.0,2016
HTI,1331717.0,2016
HTL,1153430.0,2016
HTV,1836612.0,2016
HU1,1252239.0,2016
HU3,841892.0,2016
HVG,932874.0,2016
HVX,986570.0,2016
ICF,1142723.0,2016
IDI,1143225.0,2016
IJC,972660.0,2016
IMP,1453693.0,2016
ITA,1712514.0,2016
ITC,1262587.0,2016
ITD,1485498.0,2016
JVC,1210565.0,2016
KAC,2101539.0,2016
KBC,1155842.0,2016
KDC,1800265.0,2016
KDH,1124062.0,2016
