CT,ValHar1,HarNgn1,CtyNgn1,Values1,ProNgn1,ValHar2,HarNgn2,CtyNgn2,Values2,ProNgn2,ValHar3,HarNgn3,CtyNgn3,Values3,ProNgn3,Slope,Intercept,MixedHarNgn123
-3*30*34/1/8,1000339.626793486,1.06,,,1.06,-1.2632392340832278e-05,1.6900929960437936,DRH,0.0,0.7392638036809817,-9.49412917576064e-06,1.3354557575215193,DRH,0.0,0.7392638036809817,-0.00011071772052132322,1.1653424391301057,1.3135497113658363
-3*25*33/1/8,3729750.472902816,1.06,,,1.06,-0.00019676941727232215,1.6778534580632554,DRH,0.0,0.7392638036809817,-0.0005858685111958771,1.3405839249580631,DRH,0.0,0.7392638036809817,-6.583665112221941e-05,1.1172379626281188,1.312715282683583
-3*33*33/1/30,1115763.7628203968,1.06,,,1.06,-0.0008271011884409827,1.676152719118879,DRH,0.0,0.7392638036809817,-0.012697687734005796,1.384814893782735,DRH_MHC_DHA_DVP_DSN_GSP,-1.4429779902837823e-06_-0.008778446164341166_0.0_-0.0015875913380924264_-0.0008149023950550099_-0.002043994114893082,0.9483048814476001,-6.435705571219716e-05,1.1319146526308834,1.3261903268937678
-3*18*30/1/16,1101773.651576635,1.06,,,1.06,-0.0010263044162183539,1.6648733949826109,DRH,0.0,0.7392638036809817,-0.0010263044162183539,1.3354557575215193,DRH,0.0,0.7392638036809817,-4.0160995158091785e-05,1.109693616507208,1.308414986642911
+7*8-3*9-7*30,0.01437917331928888,1.2915486701125187,CCL_PTL_HAR_VNE_NBB_DRH,0.7629254395445448_0.027286095018399764_0.15737194044239572_0.014693655850594425_0.033267542634144526_0.16816841595689272,0.9713115824872736,0.01437917331928888,1.6605410412024555,DRH,0.014693655850594425,0.7392638036809817,0.022873940125297865,1.4007346829537441,,,1.06,-5.5101157016782626e-05,1.1267160567164751,1.435139781893536
-3*20*33/1/12,6984.82632097316,1.06,,,1.06,-0.00040612553115728733,1.6449583564927417,DRH,0.0,0.7392638036809817,-0.00040612553115728733,1.3354557575215193,DRH,0.0,0.7392638036809817,-3.253725472380096e-05,1.0935238740305153,1.304278424107818
+1*8+9*22-3*12,0.27599413846285736,1.3551298055926133,BGM,0.5503251440202814,0.3545454545454545,0.27599413846285736,1.637087634411965,,,1.06,0.22187805229091934,1.4977222388694957,,,1.06,-6.670405656143764e-05,1.1451008618501726,1.4877571859943586
+4*7-3*33-27*27,0.06323654973770021,1.2686690363047526,,,1.06,0.010024225557836712,1.6364034685114912,,,1.06,-0.000174159012192579,1.422776479420401,DRH_TNT,0.0011332981465326918_0.0,0.42048660269519167,-6.813775202319446e-05,1.127306412852262,1.427093390677921
-0*3*33/1/16,16338.114366376496,1.06,,,1.06,-0.00018549310380790932,1.6235584199593776,DRH_MHC_DVP,0.0_-5.593544843101855e-05_-1.4335202742803758e-07,0.8159946614032242,-0.0013458206095177908,1.584717170253155,DRH_MHC_DVP_DHA_GSP,-1.4335202742803758e-07_-0.0007740448093209151_-5.593544843101855e-05_0.0_-0.00037782653031202297,0.922481986769378,-7.886455782576438e-05,1.1442929378069535,1.369641195427357
-3*19*33/1/16,1105400.5797860601,1.06,,,1.06,-0.0005495697883266318,1.6235584199593776,DRH,0.0,0.7392638036809817,-0.0048910131740482615,1.3394683873617619,DRH_MHC_DVP_DSN,0.0_-0.0009482610408632772_-0.000926241949011655_-1.3679928015235082e-06,0.8813508347620957,-6.46997165544501e-05,1.1326476500204152,1.301014915140081
-3*21*33/1/2,10872.636381947277,1.06,,,1.06,-0.00040135282509729057,1.6235584199593776,DRH_DHA,-0.0002728890489168025_0.0,0.9870561442647334,-0.00040135282509729057,1.3354557575215193,DRH,0.0,0.7392638036809817,-4.811700413872924e-05,1.1099503833499462,1.2997505045029933
+4*7-3*26-7*27,0.005658714102769061,1.3040989352640269,PTL_HAR,0.022945275045654252_0.05944772669102327,1.0159090909090909,0.005658714102769061,1.6234204902343277,,,1.06,0.005658714102769061,1.2440919982743113,,,1.06,-4.679790874809725e-05,1.0932940085168914,1.3719959229102014
+7*8-3*9-8*34,0.05839558944892195,1.233551099429221,CCL_VSI_PTL_VNE_HAR_KSB,0.5739295569509895_0.09273152234949564_0.1451531904702676_0.11492435767570677_0.1758438938247345_0.15981955119141236,1.0875509333661506,0.05839558944892195,1.6221744817330337,,,1.06,0.05839558944892195,1.38808540129461,,,1.06,-7.244513266612437e-05,1.1570140954871766,1.3969465928957139
+7*22-3*25-20*28,0.01242972292190725,1.3513736288585017,DRH,0.015478668591411568,0.7392638036809817,0.014038166062230933,1.619242109443638,DRH,0.015478668591411568,0.7392638036809817,-0.00038952834765175004,1.3291271401712528,DRH,0.015478668591411568,0.7392638036809817,-3.806993387177406e-05,1.0816073000405184,1.421845325509657
+8*22-3*21-9*13,0.14840804942030633,1.211580443867801,KSS_GTT_CTI_PTL,0.33887380930677885_0.4578898451015421_1.8482505319844662_0.162956792866517,0.7420454545454545,0.1163316555400058,1.6168860807261258,GTT_CTI,0.33887380930677885_0.4578898451015421,0.8340909090909088,0.11925807395748633,1.435557518122671,CTI,0.33887380930677885,1.304545454545454,-8.987995542709838e-07,1.050745016509914,1.4015846100373002
+7*22-3*25-28*30,0.04293674823847178,1.4285749573682633,,,1.06,0.01740876338695916,1.6141004968847563,,,1.06,-7.079295832032066e-05,1.351229321544625,DRH,0.015478668591411568,0.7392638036809817,-4.691743553808724e-05,1.0963853859106523,1.456589828102923
+7*8-3*9-29*33,0.05174253873630541,1.3130077364243666,CCL_PTL_HAR_VSI_VNE_KSB_FLC,0.8439641664105211_0.14025031585994616_0.21809777402354716_0.07048132680875882_0.12582297535435752_0.20401043523532314_0.23558079950968316,1.1067896889170181,0.05174253873630541,1.6077344584421653,,,1.06,0.05174253873630541,1.3759994068921988,,,1.06,-2.774708247873196e-05,1.0875421727242507,1.4215665600973844
