CT,ValHar1,HarNgn1,CtyNgn1,Values1,ProNgn1,ValHar2,HarNgn2,CtyNgn2,Values2,ProNgn2,ValHar3,HarNgn3,CtyNgn3,Values3,ProNgn3,Slope,Intercept,MixedHarNgn123
+4*7-10*20-17*17,0.09878896337202347,1.463924753907732,VNE_BCG_HAR,0.1436124606787065_0.24082014636369237_0.14995611784455615,0.922233555013793,0.09567414093284332,1.327689664390518,,,1.06,0.13496785842772485,1.1395270705093197,,,1.06,-2.3595285929126635e-05,1.0790547281611393,1.2965458254165383
+4*8+7*7-2*3,0.40717732923816513,1.4567524952790432,HAR,0.8174841074216274,0.8467336683417086,0.3641170932041198,1.3862409788592145,,,1.06,0.03252621023456456,1.3028672900148073,HAR_SZL_DPR_TRC_KSB_DHA,0.1253317606410801_0.04958010884057476_0.3076841500074728_0.03973973503301561_0.10572864782132613_0.8174841074216274,1.0084382135143213,-3.924421457233992e-05,1.1342290880257646,1.3790747359787219
+7+7+7+20+20-12,2.045513349201234,1.4563763339374698,HAR,2.1785275861225735,0.8467336683417086,2.0664276249485836,1.315482342228254,,,1.06,2.1282068484058025,1.2372276708810084,,,1.06,-9.999882405696671e-05,1.2949496177196198,1.3303345649769742
+7+7+20-0-3-11,1.1105416347977461,1.4563763339374698,BCG_HAR,1.454370998644221_1.32754020571778,0.9250169991873562,0.7238807311196611,1.3476389506578654,,,1.06,0.44361560141527795,1.261301873837784,HAR_SZL,1.32754020571778_0.7068175980519371,0.898491212280307,-5.619505430717877e-05,1.1832750272026715,1.3504353451023063
+7+7+20-1-3-4,1.2526709806767655,1.4563763339374698,BCG_HAR,1.962685290076609_1.4215390428250303,0.9250169991873562,0.6438873944122833,1.331962777921628,PET,0.958360072921253,0.9411764705882354,0.6324640444717333,1.2804156339608797,HAR_PET,1.4215390428250303_0.958360072921253,0.893955069464972,-6.317353405817042e-05,1.1997471931687038,1.3523236589518293
+7+7+20-3-4-4,1.2889399056166781,1.4563763339374698,BCG_HAR,1.898964223420736_1.3894462639130207,0.9250169991873562,0.6303903923518448,1.35994918202418,SZL,0.7965503136880888,0.9502487562189056,0.6303903923518448,1.3005981281698826,SZL,0.7965503136880888,0.9502487562189056,-6.899829963557366e-05,1.218019437811818,1.3693413414743751
+6*24+7*14-12*22,0.937416761520894,1.4563763339374698,HAR_VNE,1.3192356439331878_1.100990722974406,0.8817001675041876,1.1746421396704834,1.358445232297799,,,1.06,0.49823516192684814,1.3054085284713766,HAR_PET_ITA_SZL,1.3192356439331878_0.6285495540000937_0.8554801649404062_0.5738902793817303,0.8534791177266063,-6.339551405316646e-05,1.2124009440215573,1.3706045772819924
+7*14+10*24-12*22,0.8545090365687429,1.4563763339374698,HAR_VNE_PET,1.2944382842880455_0.8636853211312998_0.9866147223521055,0.9015256018655369,0.8200848296647489,1.315482342228254,,,1.06,0.49187469516092,1.35609315481784,HAR_PET_ITA_SZL,1.2944382842880455_0.627172250832103_0.8636853211312998_0.5786737744182356,0.8534791177266063,-4.5175693868624375e-05,1.1532175891181953,1.373484484775409
+7*14+14*20-12*22,1.74725062556496,1.4563763339374698,PET_HAR,1.7672768096537983_1.9285386955377453,0.893955069464972,0.7485075954609186,1.2531329405898077,PET_FIT_DLG_ITD_TLH_ITA_HMC_LHG_VPH_DPR_SZL,1.0409852613406776_1.639165930548069_1.9285386955377453_1.12620601757776_0.9170388243121147_1.175207428542826_1.2118316456822944_1.0498658862226864_0.9086804631257925_1.7363651940486569_0.9650157724698321,0.9763744786110198,0.9123958531687848,1.2556871923542599,PET_FIT_DLG_HMC,1.0498658862226864_1.7363651940486569_1.9285386955377453_1.639165930548069,1.1929589063210246,-6.872062940005866e-05,1.261815618072471,1.315205519943278
+8*31-3*8-4*29,0.04416765047790503,1.453092697539271,APC_SZC_GMD,0.07285491671100416_0.046345555596954094_0.07072124088998898,0.8294844076569851,0.0420611132424125,1.2565515689255242,,,1.06,0.0420611132424125,1.2226939375173358,,,1.06,-2.4878716926824613e-05,1.1042170980562034,1.3032811965395543
+8*31-3*8-27*27,0.04600466967643859,1.453092697539271,APC_SZC_HAR,0.07284881361992136_0.049144298276193446_0.07065171421334226,0.8533798774444858,0.04372722205661119,1.3047841999866012,,,1.06,0.039596212647281644,1.2226939375173358,,,1.06,-2.8339215569063835e-05,1.1126250009621592,1.3201530622240512
+7+7+11+20-3-4,1.2988803530900477,1.4518738633871326,BCG_HAR,2.494722020694345_1.488272754892974,0.9250169991873562,1.3875377494372279,1.315482342228254,,,1.06,0.634781568124354,1.292077339907139,HAR_PET_HAG_SZL,1.0109163342750271_0.8268845010597162_1.488272754892974_0.8104479090400811,0.8342649985124871,-6.48770102269759e-05,1.211955278913292,1.3495944544812886
+4+7+7+20-0-3,1.0830675745563183,1.4507976398453395,BCG_HAR,2.05012879591783_1.4263666966977333,0.9250169991873562,1.2898765841070072,1.315482342228254,,,1.06,0.3397996221484729,1.2490127531686068,HAR_SZL,1.4263666966977333_0.7207151934039294,0.898491212280307,-6.014690196571636e-05,1.1923330351547445,1.333282501450915
+6*7+9*26-3*12,0.5154325349421424,1.450033496000508,HAR,0.7436397267636803,0.8467336683417086,0.4654143594270117,1.2467783069723026,,,1.06,0.6400890311061668,1.229565821112719,HAR,0.7436397267636803,0.8467336683417086,-4.751835357147323e-05,1.1515815354491121,1.3015174959523563
