CT,ValHar1,HarNgn1,CtyNgn1,Values1,ProNgn1,ValHar2,HarNgn2,CtyNgn2,Values2,ProNgn2,ValHar3,HarNgn3,CtyNgn3,Values3,ProNgn3,Slope,Intercept,MixedHarNgn123
+7*14+14*24-4*12,1.392282317332497,1.4855786760780356,APH_HAR,2.3819380952545206_1.524684734939407,5e-324,1.278674467273085,1.2721133413551937,APH,2.3819380952545206,5e-324,0.7698997956936839,1.3713866052130324,APH_HAR_AAA_ITC_TSC_FIT,1.524684734939407_1.0665988760750265_2.3819380952545206_1.0132719967650767_0.7884907341513513_1.2416662326383343,5e-324,-5.8985147000577243e-05,1.3626205044929112,1.3708515155349401
+7*14+14*24-2*25,1.292706417780282,1.4659982379457808,APH_HAR,2.3545464695202445_1.4315978664952425,5e-324,1.2225967203478443,1.2841421866865765,APH,2.3545464695202445,5e-324,0.6501694747787894,1.4016573898689284,APH_HAR_AAA_ITC_PAN_HAX,1.4315978664952425_1.2671379603780675_2.3545464695202445_0.8029790436602696_0.7445137484853094_1.0444626231511467,5e-324,-6.27783535852129e-05,1.3773307942931612,1.3797543199414712
+7*14+14*24-12*17,1.3572835219659523,1.443047802505721,APH_HAR_HPX_AAA,1.5267320782550589_1.484818682927847_1.4745638936748149_2.8218277260611226,5e-324,1.1550090387176217,1.3085938357835403,APH_HAR,2.8218277260611226_1.5267320782550589,5e-324,0.9972620002769679,1.3317670212276471,APH_HAR_ITC,2.8218277260611226_1.5267320782550589_1.1707161036676121,5e-324,-6.618704704318084e-05,1.3939923849466507,1.358671729109669
+7*14+14*24-3*4,1.4331226578880905,1.4416329776755648,APH_HAR,2.6177391493452986_1.5267320782550589,5e-324,0.9341619844431792,1.281307290324205,APH_HAR_AAA_TSC_ITC,1.5267320782550589_1.3650046869852244_2.6177391493452986_1.049582890431661_1.116135419803252,5e-324,0.7707153257814049,1.377352558293986,APH_HAR_AAA_TSC_ITC_FIT_PAN,1.5267320782550589_1.116135419803252_2.6177391493452986_0.8636386178832637_1.049582890431661_1.3650046869852244_0.88083377419043,5e-324,-5.762026480010738e-05,1.3667407940470566,1.3635488116446863
+7*14+14*20-10*12,1.8250382684346445,1.4297167461021068,APH_HPX_HAR,2.245697764438691_1.8505747006192397_1.8889410911975937,5e-324,1.762321336243442,1.2396609294039016,,,1.06,1.1003640531849397,1.1699810261350434,APH_HAR_ITC,2.245697764438691_1.8505747006192397_1.432245264845028,5e-324,-5.9988183984622394e-05,1.3934736968551111,1.2707415991826636
+3*28-2*28-13*29,0.09630517968137786,1.4246094103341171,NVL_QCG,0.354060337770881_0.10914961701767031,5e-324,0.09008784023790588,1.2755252747055286,,,1.06,0.09008784023790588,1.2947662947172256,,,1.06,-2.9633809134512968e-05,1.2144816447180415,1.3284460220642031
+1+7+7+11-0-5,1.3635457479862154,1.421643799011947,TCO_HAR_PAN,1.4965693481836877_3.431379741590485_1.5130783690081417,5e-324,1.114137594593011,1.3084849947957478,TCO_HAR_PAN,1.4965693481836877_3.431379741590485_1.5130783690081417,5e-324,1.0544239223562033,1.2575855985217446,HAR,1.5130783690081417,5e-324,-3.592657550170392e-05,1.2444903661676958,1.3257745330303865
+1+7+7-0-5-5,1.3448796744040425,1.4173831164740878,TCO_HAR_PAN,1.495075811621072_3.083313056536753_1.5130783690081417,5e-324,1.0130691033600785,1.2924309618993215,HAR_PAN,1.5130783690081417_1.495075811621072,5e-324,0.7696574857747527,1.2618611951784633,HAR_LHG_ITC_PET,1.5130783690081417_0.9887106379048614_1.0884392319306933_0.8688968480869919,5e-324,-3.6462910363442905e-05,1.242462481947379,1.3205728098954899
+7*14+14*20-12*22,1.7055445067963786,1.4147865774818034,APH_HAR,2.962305087128289_1.8463952665775847,5e-324,1.2521581687800833,1.236928689103216,APH_HAR_ITC,2.962305087128289_1.8463952665775847_1.3647650729391136,5e-324,0.9123958531687848,1.2997451359410466,APH_HAR_TSC_AAA_ITC_FIT,1.8463952665775847_1.5264032183965117_1.1800639667018977_2.962305087128289_1.3647650729391136_1.5364741339254857,5e-324,-6.818365137358294e-05,1.4212599206705827,1.3131079466159918
+2*7+14*24-2*2,0.49523691294626393,1.413135433937373,APH_AAA_PAN,0.5649129854582312_1.1263118272789228_0.5239359798523364,5e-324,0.49523691294626393,1.2628956836743481,APH,1.1263118272789228,5e-324,0.47548291557354494,1.2187203269567455,APH,1.1263118272789228,5e-324,-4.422147229782999e-05,1.2814559524756761,1.2930978228986074
+1*24+7*7-3*10,0.7072080240047827,1.4127241548926786,TCO_HAR,0.7624015141172872_1.2834652147240626,5e-324,0.5355291972897964,1.3158384730049415,HAR,0.7624015141172872,5e-324,0.4762399773434636,1.26397659932698,HAR,0.7624015141172872,5e-324,-3.684711429600822e-05,1.2422427902398607,1.3280342662569966
+7*14+14*24-17*19,1.2582727679636547,1.4125721373871134,APH_HAR_HPX_AAA,1.5267320782550589_1.484818682927847_1.4444345807926413_2.7516302512427435,5e-324,1.1153589460991862,1.3412110221985067,APH_HAR,2.7516302512427435_1.5267320782550589,5e-324,0.92811641903042,1.3731030550430934,APH_HAR_ITC_TSC,2.7516302512427435_1.5267320782550589_1.1744613830173622_1.1657716825131996,5e-324,-6.372662922086647e-05,1.3796143973165838,1.3750109980620773
+1*27-29*29-29*29,0.09375606108862544,1.4103811792466168,SMC_CDC,0.10675193465691078_0.3494071872796982,5e-324,0.09807045398076006,1.2098747829640757,SMC,0.3494071872796982,5e-324,0.09807045398076006,1.1481824905954925,SMC,0.3494071872796982,5e-324,-3.794649127427387e-05,1.2624029309114284,1.2466228543417985
+1+4+7+7-0-5,1.463604737595671,1.409968456287746,TCO_PAN_HAR,1.5135110705356598_1.5229709467646289_3.1272277901331456,5e-324,1.0498336303229885,1.3108640911538518,PAN_HAR,1.5135110705356598_1.5229709467646289,5e-324,0.8693117870654206,1.2653345129575087,HAR_LHG_ITC_PET,1.5135110705356598_1.0173347483730264_1.098477595935949_1.005513555977751,5e-324,-3.816349261113125e-05,1.257087969021337,1.3260277085676306
+1*12-12*24-13*21,0.9300371204041227,1.408706369410331,PET_CDC_PAN_SMC,1.2559155977553538_1.9623353955932863_1.2736532011420136_0.9499967057760227,5e-324,0.5256776509153466,1.2227202644398025,PET_CDC_PAN_SMC_TYA,1.2559155977553538_1.9623353955932863_1.2736532011420136_0.9499967057760227_0.8027081491279209,5e-324,1.0317968000288706,1.188913400620492,,,1.06,-2.5279951278028202e-05,1.1993668306525302,1.266451281091365
+1*11+7*7-0*10,0.6423186843130515,1.4060743044797002,TCO_HAR,0.7624015141172872_1.5734140001326147,5e-324,0.4931280335531219,1.2876119249564735,HAR,0.7624015141172872,5e-324,0.4931280335531219,1.235787171618572,HAR,0.7624015141172872,5e-324,-2.650350569215891e-05,1.1904796418355117,1.3060330011986878
+1*2+1*4-13*21,1.0794931230847877,1.4059046686161583,SMC_PET_CDC,1.3008441254800567_1.4592578497920303_1.654217502896568,5e-324,1.0794931230847877,1.2183055820820416,SMC_CDC,1.3008441254800567_1.654217502896568,5e-324,1.3747063872415315,1.1297953950769608,,,1.06,-3.817583906924828e-05,1.2736158108175948,1.2410982600231621
+7*14+13*30-2*10,1.4618141489100172,1.4058817561577912,HAR_APH,1.4764850657626856_1.5267320782550589,5e-324,1.2692633551230585,1.270747002012525,HAR_APH,1.4764850657626856_1.5267320782550589,5e-324,0.857845760310078,1.1820321214411225,HAR_ITC,1.5267320782550589_1.074122099720474,5e-324,-4.8953743816099666e-05,1.2994918923298047,1.2797342105346245
+12*20*31/2/30,1.4698260699456744,1.4057604555449241,FRT,2.725426110151107,5e-324,0.9785437386497268,1.3513954568817979,,,1.06,1.0226131568900911,1.2181259381254876,,,1.06,-4.309069221386034e-05,1.3075521165031951,1.3202669283568373
+1*11+7*7-12*22,0.42207263628329295,1.4055385878243518,TCO_HAR_VRE,0.7582220800756322_1.1531770433732493_0.542876792220441,5e-324,0.38013015935136607,1.2989952867162435,TCO_HAR_VRE,0.7582220800756322_1.1531770433732493_0.542876792220441,5e-324,0.37663587593970416,1.2428745071719116,HAR,0.7582220800756322,5e-324,-1.5030756971557012e-05,1.1473956877628309,1.3124029942424664
+1*2+3*33-6*13,1.1281872394652819,1.4053848763364927,CDC_PET,1.4975613768414004_1.3254467842350315,5e-324,1.092810045908594,1.209602896693817,,,1.06,0.9978453338782358,1.1362641605688018,,,1.06,-4.670639732004989e-05,1.2985044657870075,1.2405185651470516
+1*24+7*7-2*17,0.6817198573981029,1.4050036516409705,TCO_APH_HAR,0.7624015141172872_1.5422238007564741_1.1468204362937409,5e-324,0.4518941675977865,1.3065113052042072,APH_HAR_AAA_ITC,0.7624015141172872_0.588676855631329_1.1468204362937409_0.5300311227617147,5e-324,0.6361421139167814,1.2511345005565182,,,1.06,-4.493789622600279e-05,1.2997132745416276,1.317862432042582
+1*20+7*14-12*22,0.890998836586429,1.4046548657179234,APH_HAR_PET_AAA_PAN,1.5225526442134039_1.1355081155389732_0.8953765957349072_1.716889825829545_0.9108597918304054,5e-324,0.7236557379548457,1.3054503014506549,APH_HAR_TSC,1.716889825829545_1.5225526442134039_0.7657230038627748,5e-324,0.6175964585136965,1.2620314837050277,APH_HAR_PAN_ITC_TSC_LHG,1.716889825829545_1.5225526442134039_0.7657230038627748_0.8953765957349072_0.7338867529589248_0.7958216030319715,5e-324,-5.290126874014288e-05,1.3118817607378863,1.3214047974622087
+7*7+11*11-11*19,0.6361421139167814,1.4030798259498583,HAR_APH,0.7605663908370323_0.7624015141172872,5e-324,0.536820545517916,1.28932891959859,HAR,0.7624015141172872,5e-324,0.5473234765305777,1.235787171618572,HAR,0.7624015141172872,5e-324,-3.1436402820354243e-05,1.2575757945259673,1.3057580861078364
+7*7+9*24-17*19,0.7092183918103829,1.4029143721664916,TCO_APH_HAR,0.7624015141172872_1.5048865492381698_0.8708333454931625,5e-324,0.6361421139167814,1.3063787938077358,APH,0.8708333454931625,5e-324,0.6361421139167814,1.2424385796085984,,,1.06,-4.775799382447984e-05,1.296915088474109,1.31397675958014
+7*14+14*24-22*24,1.3176439870377956,1.402826482715081,APH_HAR_AAA_HPX,1.5267320782550589_1.4045660568235965_2.6608731771223644_1.3594553557988274,5e-324,1.0371647290316484,1.289773400245662,APH_HAR_ITC,2.6608731771223644_1.5267320782550589_1.1552700217869472,5e-324,0.8157339873647731,1.3858042471607157,APH_HAR_AAA_TSC_ITC_FIT,1.5267320782550589_1.171903485609207_2.6608731771223644_0.9410248720576111_1.1552700217869472_1.4045660568235965,5e-324,-6.57177086418298e-05,1.3982991188968668,1.3576017212946139
+1+7+7-0-21-21,1.3680649882518359,1.4021590429196367,TCO_HAR,1.4944034609239496_2.9914486251792742,5e-324,1.2395023495110937,1.3115806755367658,,,1.06,0.696214780686348,1.22676801212928,HAR_LHG_ITC_SZL,1.4944034609239496_1.0172459369188636_1.0261350641141214_0.7272468569005478,5e-324,-3.1744070461347e-05,1.2253770908027308,1.3096006310963657
+7*7+24*24-16*17,0.6816422453076011,1.4017872363374397,TCO_APH_YBM_HAR,0.8042875405845893_1.5105914894774515_0.7624015141172872_1.0612325518913406,5e-324,0.6486356977744349,1.3018135733015084,APH,1.0612325518913406,5e-324,0.5769443063044172,1.2751052786740207,HAR,0.7624015141172872,5e-324,-4.1994447435620975e-05,1.282429008237896,1.32404551630674
+7*7+24*24-17*18,0.6901354177667348,1.4017872363374397,TCO_APH_YBM_HAR,0.804302559902748_1.5105914894774515_0.7624015141172872_1.0612722597434785,5e-324,0.6486356977744349,1.3018135733015084,APH,1.0612722597434785,5e-324,0.576945543312534,1.2751052786740207,HAR,0.7624015141172872,5e-324,-4.188815052596459e-05,1.282263953243999,1.32404551630674
+1*20+7*7-10*12,0.6286711846541271,1.401182330079436,HAR_TCO,0.7624015141172872_0.728528370200902,5e-324,0.5553966476366493,1.34061499814784,HAR,0.7624015141172872,5e-324,0.4365553576013378,1.2580527562729622,HAR,0.7624015141172872,5e-324,-4.614007778030236e-05,1.2829478266568717,1.3306787594954699
+7+7+10+18-2-19,1.5035245430084032,1.4006895793214031,PET_APH_VRE_HHV,1.5658265630363795_15.212783336776436_1.5567749700020692_2.1994962933567797,5e-324,0.7951254238387561,1.2270600370679914,APH_VRE_HHV_D2D_SZL_ITC,2.1994962933567797_0.9323029365563705_1.5567749700020692_1.5658265630363795_1.0272733308049957_1.0742124835374935,5e-324,1.2538264909689558,1.201164539002457,,,1.06,-4.362888416593562e-05,1.2907831944127572,1.2704244442409935
+1*20+7*14-10*14,0.9027010767071002,1.4004815772859733,HAR_PAN_HPX,1.5267320782550589_0.9388063811207648_0.9824045109361437,5e-324,0.7982199960207844,1.269778287024794,HAR,1.5267320782550589,5e-324,0.7982199960207844,1.2399757365683621,HAR,1.5267320782550589,5e-324,-5.210614864172741e-05,1.303625563679869,1.299800473857031
+1*2+1*20-3*22,1.367293629983379,1.3993308556582942,PET_PAN_CDC,1.472238770935951_1.5202050566657304_1.7749049951635592,5e-324,1.2852354600891607,1.246881393733725,PAN_FIT,1.3191242301420232_1.5202050566657304,5e-324,0.1549418546367688,1.1376510550171466,PET_PAN_FIT_IDI_TYA_ASM_KHP_APH_SMC_ADS_TSC_VIP_SHI_PVP_NTL_NO1_PVT_AAA_PLX_NT2_LHG_HUB_DPM_MWG_HHP_VOS_DHA_GSP_DSN_TCL_PAC_DCM_C32_SGN_DVP_HCD_DCL_MSH_GEX_POW_NAF_SAB_VNM_GAS_DPR_DHG_CNG_VCG_PC1_CRE_DGC_VSC_TLG_CSV_HAP_KBC_FPT_ELC_BMC_BMP_NNC_CII_NCT_TV2,0.26456525555619453_0.2748473460698407_0.48569685614917546_0.34824150216432903_0.1919592121416963_1.1315815018582298_0.32098041337583993_1.3191242301420232_0.22472294864895_1.5202050566657304_0.20412295100807193_0.1860118326886892_0.22510953509538267_0.25360504039059656_0.27979705961062973_0.287607441969989_0.2486044649940396_1.7749049951635592_0.2605469088886653_0.2832576804187995_0.31880844486045073_0.3508668120915032_0.5137545710199881_0.30324627030991536_0.3860992710603625_0.17141470758567195_0.5602803040019382_0.4414968450342387_0.5009024507396311_0.22193029772676826_0.275843446293777_0.568263757705428_1.018361388153178_0.2372244210212373_0.4937188034096651_0.4037516400512912_0.5945191228832264_0.30509661596426324_0.4475377143922593_0.25694099700552675_0.2997118115605866_0.24393303797677016_0.17997414135426093_0.45782344022337285_0.5091690236556242_0.5421668052194285_0.9106984416786528_0.19126566042373896_0.27430036603461594_0.8381252258463296_0.5655214864640282_0.16777392683028078_0.20417852269093129_0.7129095253217241_0.4160879264143022_0.32348727661014964_0.4625145660191299_0.48650682317769267_1.08616465493609_1.0793432786206758_0.29579258328988006_1.013610941264283_0.29681560860126854_0.19570845928566846,5e-324,-4.728386584344546e-05,1.29333336423208,1.252278976090886
+7*7+10*10-2*10,0.6837963615812945,1.3989654207312887,HHV_TCO_VRE_HAR,0.9383188901386247_0.7952217105635646_0.7624015141172872_0.9756720142699444,5e-324,0.5203334256404297,1.234597576760199,HHV_VRE_HAR_APH_D2D,0.594987290981239_0.5801938668692725_0.7624015141172872_0.9756720142699444_0.7952217105635646,5e-324,0.4924049409346238,1.1710636190332477,HHV_HAR_D2D,0.5801938668692725_0.7624015141172872_0.9756720142699444,5e-324,-2.4101112770931064e-05,1.1886403641172922,1.2611829863406692
+7+24+24+25-1-12,0.3880151763986104,1.3987926187507584,HAR_VRE,0.7629066400501083_0.48837981367556005,5e-324,0.40734830267349953,1.3055544382681459,HAR,0.7629066400501083,5e-324,0.40734830267349953,1.2742465689001854,HAR,0.7629066400501083,5e-324,-1.8218596485335e-05,1.1560735405747473,1.3241304324261174
+1*20+7*7-2*10,0.6533957928052411,1.3980636777239324,PAN_TCO_HAR,0.7939387695630954_0.7624015141172872_0.9628768739810228,5e-324,0.6496820725071413,1.3303448089425243,PAN,0.9628768739810228,5e-324,0.6124563851228282,1.2761442163915306,HAR,0.7624015141172872,5e-324,-5.0334587856881334e-05,1.3069217741186665,1.332995453026303
