SYMBOL,SUM_RANK,TIME
NOT_INVEST,3647631.0,2022
AAA,2382201.0,2022
AAM,1994666.0,2022
AAT,1466517.0,2022
ABR,2110607.0,2022
ABS,1761005.0,2022
ABT,1520619.0,2022
ACC,1089457.0,2022
ACL,1279280.0,2022
ADG,2026126.0,2022
ADS,1987778.0,2022
AGG,1713862.0,2022
AGM,1720126.0,2022
AMD,1882515.0,2022
ANV,2093754.0,2022
APC,1417884.0,2022
APH,2284076.0,2022
ASG,1987258.0,2022
ASM,2206023.0,2022
ASP,2278527.0,2022
AST,1865533.0,2022
BAF,1862618.0,2022
BBC,1857691.0,2022
BCE,1225522.0,2022
BCG,1789511.0,2022
BCM,1937608.0,2022
BFC,1564027.0,2022
BHN,2195703.0,2022
BKG,1532065.0,2022
BMC,1472757.0,2022
BMP,2108995.0,2022
BRC,1944696.0,2022
BTP,1972859.0,2022
BTT,1781968.0,2022
BWE,1887251.0,2022
C32,2163972.0,2022
C47,843191.0,2022
CAV,1134475.0,2022
CCI,2165888.0,2022
CCL,1167291.0,2022
CDC,2243962.0,2022
CEE,1068457.0,2022
CHP,1195994.0,2022
CIG,1256200.0,2022
CII,1896210.0,2022
CKG,1235858.0,2022
CLC,1269257.0,2022
CLL,1798133.0,2022
CLW,1923329.0,2022
CMG,2246484.0,2022
CMV,1905905.0,2022
CMX,1139461.0,2022
CNG,1807652.0,2022
COM,1855013.0,2022
CRC,1278239.0,2022
CRE,1894301.0,2022
CSM,1066018.0,2022
CSV,1963477.0,2022
CTD,2263654.0,2022
CTF,1379384.0,2022
CTI,1054498.0,2022
CTR,1714468.0,2022
CVT,1884228.0,2022
D2D,2150942.0,2022
DAG,1774784.0,2022
DAH,1446104.0,2022
DAT,2254925.0,2022
DBC,1948790.0,2022
DBD,1910216.0,2022
DBT,2169181.0,2022
DC4,1555941.0,2022
DCL,2024107.0,2022
DCM,2016074.0,2022
DGC,1987195.0,2022
DGW,1474641.0,2022
DHA,1741313.0,2022
DHC,1669840.0,2022
DHG,2023912.0,2022
DHM,2046223.0,2022
DIG,1994180.0,2022
DLG,1528833.0,2022
DMC,2013567.0,2022
DPG,1831017.0,2022
DPM,2181482.0,2022
DPR,2274944.0,2022
DQC,1951804.0,2022
DRC,1976958.0,2022
DRH,1676087.0,2022
DRL,1565945.0,2022
DSN,1669641.0,2022
DTA,2045344.0,2022
DTL,1327786.0,2022
DTT,1479854.0,2022
DVP,1869053.0,2022
DXG,1927382.0,2022
DXS,1970845.0,2022
DXV,2088787.0,2022
ELC,1925867.0,2022
EMC,1422828.0,2022
EVE,2380140.0,2022
EVG,1217976.0,2022
FCM,2040970.0,2022
FCN,1706613.0,2022
FDC,1410486.0,2022
FIR,1529396.0,2022
FIT,2703465.0,2022
FLC,1944073.0,2022
FMC,1649380.0,2022
FPT,2239648.0,2022
FRT,2102069.0,2022
FTM,1001407.0,2022
GAB,1398069.0,2022
GAS,2058527.0,2022
GDT,1875232.0,2022
GEG,1451366.0,2022
GEX,2457726.0,2022
GIL,2310597.0,2022
GMC,1438719.0,2022
GMD,1879432.0,2022
GMH,2108465.0,2022
GSP,1766198.0,2022
GTA,2279950.0,2022
GVR,2196421.0,2022
HAG,1007652.0,2022
HAH,1644668.0,2022
HAI,2016564.0,2022
HAP,1740477.0,2022
HAR,1850428.0,2022
HAS,2199867.0,2022
HAX,1591032.0,2022
HBC,1701220.0,2022
HCD,1747938.0,2022
HDC,1518849.0,2022
HDG,2059133.0,2022
HHP,1815881.0,2022
HHS,2266883.0,2022
HHV,1613950.0,2022
HID,1124323.0,2022
HII,1631715.0,2022
HMC,1914494.0,2022
HNG,1223228.0,2022
HOT,1369083.0,2022
HPG,2218703.0,2022
HPX,1858037.0,2022
HQC,1077227.0,2022
HRC,1366716.0,2022
HSG,1463007.0,2022
HSL,1499076.0,2022
HT1,1831770.0,2022
HTI,1188575.0,2022
HTL,1641210.0,2022
HTN,1834884.0,2022
HTV,2033816.0,2022
HU1,2119826.0,2022
HU3,1391530.0,2022
HUB,2373339.0,2022
HVH,1451656.0,2022
HVN,1485714.0,2022
HVX,1238233.0,2022
IBC,1919625.0,2022
ICT,1831956.0,2022
IDI,2194729.0,2022
IJC,1649467.0,2022
ILB,1481502.0,2022
IMP,1848140.0,2022
ITA,1465644.0,2022
ITC,1525111.0,2022
ITD,2226363.0,2022
JVC,1800561.0,2022
KBC,1861064.0,2022
KDC,2082625.0,2022
KDH,1747203.0,2022
KHG,1179088.0,2022
KHP,2067368.0,2022
KMR,1214879.0,2022
KOS,1570602.0,2022
KSB,1556570.0,2022
L10,1251029.0,2022
LAF,2015393.0,2022
LBM,1453257.0,2022
LCG,2012199.0,2022
LCM,1370822.0,2022
LDG,1191368.0,2022
LEC,1494759.0,2022
LGC,1415745.0,2022
LGL,1762947.0,2022
LHG,2366307.0,2022
LIX,1503758.0,2022
LM8,1950854.0,2022
LSS,1359304.0,2022
MCG,1347855.0,2022
MCP,1797256.0,2022
MDG,1430373.0,2022
MHC,1653451.0,2022
MSH,1948186.0,2022
MSN,1755611.0,2022
MWG,2233222.0,2022
NAF,1557954.0,2022
NAV,1986946.0,2022
NBB,1281350.0,2022
NCT,1723154.0,2022
NHA,1395087.0,2022
NHH,1281342.0,2022
NHT,1834673.0,2022
NKG,1940324.0,2022
NLG,2190732.0,2022
NNC,1619093.0,2022
NSC,1946580.0,2022
NT2,1414262.0,2022
NTL,1291569.0,2022
NVL,1632738.0,2022
NVT,1573744.0,2022
OPC,1919826.0,2022
PAC,2165218.0,2022
PAN,2553517.0,2022
PC1,1771008.0,2022
PDN,1729035.0,2022
PDR,1455966.0,2022
PET,2374691.0,2022
PGC,2332046.0,2022
PGD,1852113.0,2022
PGV,1654596.0,2022
PHC,1508734.0,2022
PHR,2019289.0,2022
PIT,1816152.0,2022
PJT,1245441.0,2022
PLP,2071890.0,2022
PLX,2308398.0,2022
PMG,2461916.0,2022
PNC,1991366.0,2022
PNJ,1352897.0,2022
POM,1109985.0,2022
POW,1828681.0,2022
PPC,1937212.0,2022
PSH,1426900.0,2022
PTB,1884204.0,2022
PTC,1558795.0,2022
PTL,1815631.0,2022
PVD,1855899.0,2022
PVT,1878591.0,2022
PXI,1059038.0,2022
PXS,1296552.0,2022
QBS,1212983.0,2022
QCG,1403392.0,2022
RAL,1302576.0,2022
RDP,1385045.0,2022
REE,2080622.0,2022
RIC,1414222.0,2022
ROS,1424525.0,2022
S4A,1378552.0,2022
SAB,1991270.0,2022
SAM,2121079.0,2022
SAV,2046318.0,2022
SBA,1276586.0,2022
SBT,2147478.0,2022
SBV,1712274.0,2022
SC5,1815891.0,2022
SCD,1236478.0,2022
SCR,1788409.0,2022
SCS,1541827.0,2022
SFC,1749814.0,2022
SFG,2233352.0,2022
SFI,1905768.0,2022
SGN,1614818.0,2022
SGR,1951819.0,2022
SGT,1506455.0,2022
SHA,2029427.0,2022
SHI,2044949.0,2022
SHP,1318466.0,2022
SII,1589366.0,2022
SJD,1203375.0,2022
SJF,1225615.0,2022
SJS,1634039.0,2022
SKG,1750923.0,2022
SMA,1210940.0,2022
SMB,2293006.0,2022
SMC,2077929.0,2022
SPM,1369398.0,2022
SRC,1158761.0,2022
SRF,2005826.0,2022
SSC,1456501.0,2022
ST8,2278935.0,2022
STG,2087965.0,2022
STK,1402741.0,2022
SVC,2167049.0,2022
SVD,988416.0,2022
SVI,2085106.0,2022
SVT,1513961.0,2022
SZC,1673527.0,2022
SZL,2023554.0,2022
TAC,1945852.0,2022
TBC,1860735.0,2022
TCD,1831114.0,2022
TCL,1771068.0,2022
TCM,2050455.0,2022
TCO,1170911.0,2022
TCR,1126612.0,2022
TCT,1447672.0,2022
TDC,1266004.0,2022
TDG,1950004.0,2022
TDH,1988856.0,2022
TDM,1304795.0,2022
TDP,1799378.0,2022
TDW,2032853.0,2022
TEG,1977390.0,2022
TGG,1957217.0,2022
THG,1920626.0,2022
THI,1942927.0,2022
TIP,1978545.0,2022
TIX,2136457.0,2022
TLD,1658721.0,2022
TLG,2104823.0,2022
TLH,2222506.0,2022
TMP,1577502.0,2022
TMS,1909505.0,2022
TMT,2097947.0,2022
TN1,2434445.0,2022
TNA,2123188.0,2022
TNC,1908649.0,2022
TNH,1459845.0,2022
TNI,1616153.0,2022
TNT,1292301.0,2022
TPC,2240179.0,2022
TRA,2077705.0,2022
TRC,1566245.0,2022
TSC,2372625.0,2022
TTA,1182123.0,2022
TTB,1999429.0,2022
TTE,1294505.0,2022
TTF,1819388.0,2022
TV2,1835629.0,2022
TVT,2286785.0,2022
TYA,2076406.0,2022
UDC,1349115.0,2022
UIC,1370338.0,2022
VAF,2237928.0,2022
