SYMBOL,SUM_RANK,TIME
NOT_INVEST,2909126.0,2017
AAA,1038011.0,2017
AAM,1301925.0,2017
ABT,1431208.0,2017
ACC,1450229.0,2017
ACL,897352.0,2017
ADS,1177982.0,2017
AGF,909555.0,2017
AGM,987137.0,2017
AMD,1510931.0,2017
ANV,885889.0,2017
APC,1492360.0,2017
ASM,1647630.0,2017
ASP,1603231.0,2017
ATG,1461038.0,2017
BBC,1553537.0,2017
BCE,745277.0,2017
BCG,1321590.0,2017
BCI,1495224.0,2017
BFC,1173990.0,2017
BGM,1540284.0,2017
BHN,1794373.0,2017
BHS,1366489.0,2017
BMC,1281590.0,2017
BMP,1509985.0,2017
BRC,1256194.0,2017
BTP,1316138.0,2017
BTT,1560207.0,2017
C32,1639342.0,2017
C47,586706.0,2017
CAV,1347127.0,2017
CCI,1990609.0,2017
CCL,1508525.0,2017
CDC,1343938.0,2017
CDO,1623127.0,2017
CHP,1282928.0,2017
CIG,872971.0,2017
CII,1791125.0,2017
CLC,1204243.0,2017
CLG,1826409.0,2017
CLL,1453989.0,2017
CLW,1271700.0,2017
CMG,1751968.0,2017
CMT,1076125.0,2017
CMV,1106165.0,2017
CMX,843913.0,2017
CNG,1437703.0,2017
COM,1597059.0,2017
CSM,983605.0,2017
CSV,1404786.0,2017
CTD,1804581.0,2017
CTI,1226864.0,2017
CYC,681432.0,2017
D2D,1366219.0,2017
DAG,1088103.0,2017
DAH,1252376.0,2017
DAT,1846432.0,2017
DCL,1477225.0,2017
DCM,1259476.0,2017
DGW,1205340.0,2017
DHA,1720090.0,2017
DHC,1641217.0,2017
DHG,1498987.0,2017
DHM,1924091.0,2017
DIC,1108034.0,2017
DIG,1245779.0,2017
DLG,1475129.0,2017
DMC,1485243.0,2017
DPM,1926419.0,2017
DPR,2018090.0,2017
DQC,1477281.0,2017
DRC,1155333.0,2017
DRH,1864002.0,2017
DRL,1482053.0,2017
DSN,1594385.0,2017
DTA,1523043.0,2017
DTL,1157223.0,2017
DTT,1449098.0,2017
DVP,1596549.0,2017
DXG,1571701.0,2017
DXV,1241432.0,2017
ELC,1392501.0,2017
EMC,1083801.0,2017
EVE,1300211.0,2017
FCM,1225820.0,2017
FCN,1360596.0,2017
FDC,1842029.0,2017
FIT,1914936.0,2017
FLC,1949094.0,2017
FMC,1175921.0,2017
FPT,1519141.0,2017
FTM,879671.0,2017
GAS,1751031.0,2017
GDT,1550843.0,2017
GIL,1348934.0,2017
GMC,1186518.0,2017
GMD,1789634.0,2017
GSP,1578923.0,2017
GTA,1777641.0,2017
GTN,1673800.0,2017
HAG,1745264.0,2017
HAH,1314609.0,2017
HAI,1365759.0,2017
HAP,1414708.0,2017
HAR,2133650.0,2017
HAS,1847059.0,2017
HAX,1448069.0,2017
HBC,1428577.0,2017
HCD,1109850.0,2017
HDC,1194597.0,2017
HDG,1422008.0,2017
HHS,1583349.0,2017
HID,1361756.0,2017
HLG,1225327.0,2017
HMC,1740400.0,2017
HNG,1210465.0,2017
HOT,1486652.0,2017
HPG,1586840.0,2017
HQC,961991.0,2017
HRC,1543289.0,2017
HSG,1176612.0,2017
HT1,1185026.0,2017
HTI,1281883.0,2017
HTL,1417512.0,2017
HTV,1683909.0,2017
HU1,1528758.0,2017
HU3,1107420.0,2017
HVG,1041440.0,2017
HVX,862265.0,2017
ICF,803752.0,2017
IDI,1766117.0,2017
IJC,1228417.0,2017
IMP,1495008.0,2017
ITA,1569852.0,2017
ITC,1136618.0,2017
ITD,1830950.0,2017
JVC,1269775.0,2017
KAC,1692708.0,2017
KBC,1217411.0,2017
KDC,1580702.0,2017
KDH,1391732.0,2017
KHA,1983498.0,2017
KHP,1337171.0,2017
KMR,1155014.0,2017
KSA,1472877.0,2017
KSB,1905287.0,2017
KSH,1594183.0,2017
L10,1182384.0,2017
LAF,1320735.0,2017
LBM,1712354.0,2017
LCG,1474530.0,2017
LCM,1475280.0,2017
LDG,1024556.0,2017
LGC,1505398.0,2017
LGL,1315395.0,2017
LHG,1833197.0,2017
LIX,1482727.0,2017
LM8,932939.0,2017
LSS,1200130.0,2017
MCG,829551.0,2017
MCP,1271187.0,2017
MDG,1315743.0,2017
MHC,2004005.0,2017
MSN,1350351.0,2017
MWG,1412713.0,2017
NAF,1688997.0,2017
NAV,1240957.0,2017
NBB,1107157.0,2017
NCT,1603658.0,2017
NKG,1088181.0,2017
NLG,1372593.0,2017
NNC,1492081.0,2017
NSC,1520054.0,2017
NT2,1180765.0,2017
NTL,1340954.0,2017
NVL,1546876.0,2017
NVT,1777156.0,2017
OPC,1574688.0,2017
PAC,1395544.0,2017
PAN,1710213.0,2017
PC1,1738827.0,2017
PDN,1413835.0,2017
PDR,1073389.0,2017
PET,2091288.0,2017
PGC,1570099.0,2017
PGD,1467436.0,2017
PHR,1887166.0,2017
PIT,1016367.0,2017
PJT,1223104.0,2017
PNC,1264763.0,2017
PNJ,1291457.0,2017
POM,1057033.0,2017
PPC,1260344.0,2017
PPI,1296806.0,2017
PTB,1600795.0,2017
PTC,1219327.0,2017
PTL,1747452.0,2017
PVD,1284193.0,2017
PVT,1365939.0,2017
PXI,726995.0,2017
PXS,1302221.0,2017
PXT,1038242.0,2017
QBS,1377012.0,2017
QCG,1268075.0,2017
RAL,1275100.0,2017
RDP,1059735.0,2017
REE,1954385.0,2017
RIC,1378352.0,2017
ROS,1819888.0,2017
S4A,1271717.0,2017
SAB,1689667.0,2017
SAM,1950624.0,2017
SAV,2035682.0,2017
SBA,1287695.0,2017
SBT,1574690.0,2017
SC5,911240.0,2017
SCD,1912288.0,2017
SCR,1351835.0,2017
SFC,1897258.0,2017
SFG,1168427.0,2017
SFI,2066676.0,2017
SGT,1817949.0,2017
SHA,993221.0,2017
SHI,1294015.0,2017
SHP,1301874.0,2017
SII,1664902.0,2017
SJD,1486246.0,2017
SJS,1310443.0,2017
SKG,1582381.0,2017
SMA,843535.0,2017
SMC,1155293.0,2017
SPM,1353830.0,2017
SRC,1101025.0,2017
SRF,1480107.0,2017
SSC,1515183.0,2017
ST8,1852631.0,2017
STG,1616322.0,2017
STK,1017207.0,2017
STT,1470769.0,2017
SVC,2016037.0,2017
SVI,1351787.0,2017
SVT,2054840.0,2017
SZL,1836762.0,2017
TAC,1275829.0,2017
TBC,1600515.0,2017
TCL,1478816.0,2017
TCM,1293899.0,2017
TCO,1610656.0,2017
TCR,1136931.0,2017
TCT,1652478.0,2017
TDC,893212.0,2017
TDH,1791730.0,2017
TDW,1490761.0,2017
THG,1469822.0,2017
TIC,1466407.0,2017
TIE,2024942.0,2017
TIP,1665609.0,2017
TIX,1706594.0,2017
TLG,1411845.0,2017
TLH,1289760.0,2017
TMP,1480161.0,2017
TMS,1815912.0,2017
TMT,1285839.0,2017
TNA,1254639.0,2017
TNC,1624754.0,2017
TNT,1443028.0,2017
TPC,1517907.0,2017
TRA,1732174.0,2017
TRC,1670647.0,2017
TS4,880312.0,2017
TSC,1778590.0,2017
TTF,1126761.0,2017
TV1,705610.0,2017
TYA,1413198.0,2017
UDC,1700278.0,2017
UIC,1353313.0,2017
VAF,1454943.0,2017
VCF,1733271.0,2017
VFG,1614492.0,2017
VHC,1404472.0,2017
VHG,1650164.0,2017
VIC,1852313.0,2017
VID,1560931.0,2017
VIP,1709277.0,2017
VIS,1187284.0,2017
VJC,1414607.0,2017
VMD,978942.0,2017
VNA,1023815.0,2017
VNE,1587156.0,2017
VNG,1571869.0,2017
VNL,1320876.0,2017
VNM,1783059.0,2017
VNS,1373042.0,2017
VOS,811432.0,2017
VPH,1141226.0,2017
VPK,1229463.0,2017
VPS,1581578.0,2017
VRC,1850280.0,2017
VSC,1564060.0,2017
VSH,1465855.0,2017
VSI,2264169.0,2017
VTB,1164503.0,2017
VTO,1156600.0,2017
NOT_INVEST,2800832.0,2016
AAM,1253484.0,2016
ABT,1321643.0,2016
ACC,1357466.0,2016
ACL,819158.0,2016
AGF,909973.0,2016
AGM,1117305.0,2016
AMD,1590930.0,2016
ANV,831092.0,2016
APC,1489683.0,2016
ASM,1453932.0,2016
ASP,1486079.0,2016
ATA,1236137.0,2016
BBC,1534032.0,2016
BCE,793020.0,2016
BCG,1398327.0,2016
BCI,1499545.0,2016
BFC,1260811.0,2016
BGM,1469553.0,2016
BHS,1394965.0,2016
BMC,1280007.0,2016
BMP,1515775.0,2016
BRC,1242693.0,2016
BTP,1254773.0,2016
BTT,1589446.0,2016
C32,1525235.0,2016
C47,429576.0,2016
CAV,1167517.0,2016
CCI,1870664.0,2016
CCL,1356429.0,2016
CDC,1330927.0,2016
CDO,1472323.0,2016
CIG,548026.0,2016
CII,1621790.0,2016
CLC,1201340.0,2016
CLG,1241085.0,2016
CLL,1490766.0,2016
CLW,1385512.0,2016
CMG,1670824.0,2016
CMT,900058.0,2016
CMV,1017634.0,2016
CMX,1017637.0,2016
CNG,1469174.0,2016
COM,1635470.0,2016
CSM,999778.0,2016
CSV,1423282.0,2016
CTD,1759228.0,2016
CTI,1265993.0,2016
CYC,697500.0,2016
D2D,1463732.0,2016
DAG,1125481.0,2016
DAT,1343128.0,2016
DCL,1430183.0,2016
DCM,1232858.0,2016
DGW,1219523.0,2016
DHA,1713663.0,2016
DHC,1558185.0,2016
DHG,1455389.0,2016
DHM,1314635.0,2016
DIC,1023316.0,2016
DIG,1172946.0,2016
DLG,1436736.0,2016
DMC,1340881.0,2016
DPM,1701387.0,2016
DPR,1967210.0,2016
DQC,1387921.0,2016
DRC,1148712.0,2016
DRH,1723365.0,2016
DRL,1440997.0,2016
DSN,1567921.0,2016
DTA,1404330.0,2016
DTL,1066395.0,2016
DTT,1379427.0,2016
DVP,1523749.0,2016
DXG,1416548.0,2016
DXV,1204335.0,2016
ELC,1441348.0,2016
EMC,973084.0,2016
EVE,1378407.0,2016
FCM,1220490.0,2016
FCN,1203699.0,2016
FDC,1612615.0,2016
FIT,1613685.0,2016
FLC,1871283.0,2016
FMC,1156424.0,2016
FPT,1501136.0,2016
GAS,1689381.0,2016
GDT,1507937.0,2016
GIL,1434846.0,2016
GMC,1313171.0,2016
GMD,1633926.0,2016
GSP,1452595.0,2016
GTA,1777974.0,2016
GTN,1523144.0,2016
GTT,960150.0,2016
HAG,1225857.0,2016
HAH,1359548.0,2016
HAI,1451089.0,2016
HAP,1474329.0,2016
HAR,1949111.0,2016
HAS,1683615.0,2016
HAX,1316331.0,2016
HBC,1109486.0,2016
HDC,1214464.0,2016
HDG,1549108.0,2016
HHS,1329091.0,2016
HLG,1221537.0,2016
HMC,1536151.0,2016
HNG,1137679.0,2016
HOT,1513191.0,2016
HPG,1661280.0,2016
HQC,1211536.0,2016
HRC,1490448.0,2016
HSG,1110236.0,2016
HT1,1164451.0,2016
HTI,1252335.0,2016
HTL,1391158.0,2016
HTV,1587137.0,2016
HU1,1224905.0,2016
HU3,878096.0,2016
HVG,1123067.0,2016
HVX,806690.0,2016
ICF,922118.0,2016
IDI,1059783.0,2016
IJC,1323231.0,2016
IMP,1452903.0,2016
ITA,1444365.0,2016
ITC,1189626.0,2016
ITD,1782719.0,2016
JVC,1056703.0,2016
KAC,1643755.0,2016
KBC,1066609.0,2016
KDC,1570923.0,2016
KDH,1339807.0,2016
KHA,1890428.0,2016
KHP,1321139.0,2016
KMR,1166629.0,2016
KSA,1486609.0,2016
KSB,1816556.0,2016
KSH,1466823.0,2016
KSS,1017813.0,2016
L10,1173147.0,2016
LAF,1214223.0,2016
LBM,1560748.0,2016
LCG,1383257.0,2016
LCM,1453256.0,2016
LDG,1034879.0,2016
LGC,1534102.0,2016
LGL,1586044.0,2016
LHG,1785012.0,2016
LIX,1431685.0,2016
LM8,949290.0,2016
LSS,1025322.0,2016
MCG,922936.0,2016
MCP,1095916.0,2016
MDG,1274149.0,2016
MHC,1577774.0,2016
MSN,1367429.0,2016
MWG,1428520.0,2016
NAF,1586512.0,2016
NAV,1176858.0,2016
NBB,1297478.0,2016
NCT,1532304.0,2016
NKG,821874.0,2016
NLG,1424676.0,2016
NNC,1408766.0,2016
NSC,1420991.0,2016
NT2,1151783.0,2016
NTL,1193577.0,2016
NVT,1442188.0,2016
OPC,1463788.0,2016
PAC,1293610.0,2016
PAN,1543307.0,2016
PDN,1448386.0,2016
PDR,1164258.0,2016
