SYMBOL,SUM_RANK,TIME
NOT_INVEST,2831536.0,2017
AAA,976660.0,2017
AAM,1360239.0,2017
ABT,1557617.0,2017
ACC,1522638.0,2017
ACL,809217.0,2017
ADS,1088357.0,2017
AGF,879014.0,2017
AGM,888028.0,2017
AMD,1379348.0,2017
ANV,731275.0,2017
APC,1687567.0,2017
ASM,1724037.0,2017
ASP,1271775.0,2017
ATG,1385446.0,2017
BBC,1598198.0,2017
BCE,787801.0,2017
BCG,1114596.0,2017
BCI,1539055.0,2017
BFC,1204146.0,2017
BGM,1551916.0,2017
BHN,1919988.0,2017
BHS,1242807.0,2017
BMC,1480889.0,2017
BMP,1629447.0,2017
BRC,1332471.0,2017
BTP,1323852.0,2017
BTT,1482362.0,2017
C32,1982224.0,2017
C47,450463.0,2017
CAV,1385938.0,2017
CCI,1999434.0,2017
CCL,1570925.0,2017
CDC,1567995.0,2017
CDO,1596931.0,2017
CHP,1393621.0,2017
CIG,811118.0,2017
CII,1663086.0,2017
CLC,1396533.0,2017
CLG,1496428.0,2017
CLL,1589309.0,2017
CLW,1207934.0,2017
CMG,1518292.0,2017
CMT,1078087.0,2017
CMV,991897.0,2017
CMX,742566.0,2017
CNG,1541319.0,2017
COM,1634050.0,2017
CSM,1065210.0,2017
CSV,1543347.0,2017
CTD,1873985.0,2017
CTI,1106265.0,2017
CYC,541113.0,2017
D2D,1270929.0,2017
DAG,1344087.0,2017
DAH,1343569.0,2017
DAT,1919569.0,2017
DCL,1623222.0,2017
DCM,1259617.0,2017
DGW,1245948.0,2017
DHA,1798728.0,2017
DHC,1724504.0,2017
DHG,1592836.0,2017
DHM,1867812.0,2017
DIC,854015.0,2017
DIG,1233680.0,2017
DLG,1412688.0,2017
DMC,1610805.0,2017
DPM,2124705.0,2017
DPR,1938366.0,2017
DQC,1556772.0,2017
DRC,1306379.0,2017
DRH,1830199.0,2017
DRL,1625046.0,2017
DSN,1755035.0,2017
DTA,1133554.0,2017
DTL,1224356.0,2017
DTT,1453880.0,2017
DVP,1703112.0,2017
DXG,1714968.0,2017
DXV,1241870.0,2017
ELC,1409160.0,2017
EMC,1158616.0,2017
EVE,1504789.0,2017
FCM,1238040.0,2017
FCN,1108032.0,2017
FDC,1922040.0,2017
FIT,2000495.0,2017
FLC,1832955.0,2017
FMC,1174229.0,2017
FPT,1341221.0,2017
FTM,889595.0,2017
GAS,1820718.0,2017
GDT,1671640.0,2017
GIL,1300826.0,2017
GMC,1054487.0,2017
GMD,1582967.0,2017
GSP,1666719.0,2017
GTA,1834290.0,2017
GTN,1647338.0,2017
HAG,1450524.0,2017
HAH,1357331.0,2017
HAI,1297104.0,2017
HAP,1212384.0,2017
HAR,1925527.0,2017
HAS,1785340.0,2017
HAX,1434962.0,2017
HBC,1326299.0,2017
HCD,1307139.0,2017
HDC,1441801.0,2017
HDG,1417387.0,2017
HHS,1610562.0,2017
HID,1365260.0,2017
HLG,1064641.0,2017
HMC,1904212.0,2017
HNG,1000105.0,2017
HOT,1566308.0,2017
HPG,1790253.0,2017
HQC,900487.0,2017
HRC,1492679.0,2017
HSG,1209370.0,2017
HT1,1189409.0,2017
HTI,1253187.0,2017
HTL,1489710.0,2017
HTV,1767504.0,2017
HU1,1449780.0,2017
HU3,1004108.0,2017
HVG,718457.0,2017
HVX,857994.0,2017
ICF,652204.0,2017
IDI,1761224.0,2017
IJC,1324312.0,2017
IMP,1563760.0,2017
ITA,1547327.0,2017
