SYMBOL,SUM_RANK,TIME
NOT_INVEST,3252271.0,2019
AAA,1237981.0,2019
AAM,1602589.0,2019
ABT,1890921.0,2019
ACC,2005247.0,2019
ACL,1497497.0,2019
ADS,872355.0,2019
AGF,993190.0,2019
AGM,1156671.0,2019
AMD,1572953.0,2019
ANV,1741087.0,2019
APC,2234144.0,2019
ASM,1312541.0,2019
ASP,1068452.0,2019
AST,2096157.0,2019
ATG,1837378.0,2019
BBC,1893259.0,2019
BCE,1198379.0,2019
BCG,1801688.0,2019
BFC,1041993.0,2019
BHN,2105272.0,2019
BMC,1746775.0,2019
BMP,1856458.0,2019
BRC,1720257.0,2019
BTP,1757000.0,2019
BTT,1981449.0,2019
BWE,1676503.0,2019
C32,2022520.0,2019
C47,485960.0,2019
CAV,1495429.0,2019
CCI,2270723.0,2019
CCL,1519383.0,2019
CDC,1427122.0,2019
CEE,1309432.0,2019
CHP,2035533.0,2019
CIG,1207466.0,2019
CII,1638434.0,2019
CLC,1625544.0,2019
CLG,1699835.0,2019
CLL,2222502.0,2019
CLW,1631528.0,2019
CMG,1633193.0,2019
CMT,1228043.0,2019
CMV,908446.0,2019
CMX,1113122.0,2019
CNG,1812742.0,2019
COM,1967762.0,2019
CRC,1623351.0,2019
CRE,1814491.0,2019
CSM,1027728.0,2019
CSV,1857933.0,2019
CTD,1878612.0,2019
CTF,1370908.0,2019
CTI,1488327.0,2019
CVT,1409730.0,2019
D2D,1963098.0,2019
DAG,1261431.0,2019
DAH,1469114.0,2019
DAT,1942726.0,2019
DBD,1838893.0,2019
DCL,1493191.0,2019
DCM,1453806.0,2019
DGW,1197171.0,2019
DHA,2237708.0,2019
DHC,1735032.0,2019
DHG,2034543.0,2019
DHM,1424314.0,2019
DIC,750398.0,2019
DIG,1632772.0,2019
DLG,1070741.0,2019
DMC,1931024.0,2019
DPG,1337996.0,2019
DPM,2080942.0,2019
DPR,2318220.0,2019
DQC,1367890.0,2019
DRC,1482887.0,2019
DRH,1474170.0,2019
DRL,2182990.0,2019
DSN,2161524.0,2019
DTA,1655642.0,2019
DTL,1565115.0,2019
DTT,1608136.0,2019
DVP,2218058.0,2019
DXG,1838541.0,2019
DXV,1151183.0,2019
ELC,1517649.0,2019
EMC,1403571.0,2019
EVE,1283187.0,2019
EVG,1619910.0,2019
FCM,1398233.0,2019
FCN,1198698.0,2019
FDC,2148252.0,2019
FIR,1604028.0,2019
FIT,1970886.0,2019
FLC,1483595.0,2019
FMC,1430962.0,2019
FPT,2031418.0,2019
FRT,1234345.0,2019
FTM,1391632.0,2019
GAS,2263410.0,2019
GDT,1951487.0,2019
GEX,1813693.0,2019
GIL,1309706.0,2019
GMC,1375649.0,2019
GMD,2195364.0,2019
GSP,1639630.0,2019
GTA,1504798.0,2019
GTN,2175175.0,2019
HAG,1348760.0,2019
HAH,1852586.0,2019
HAI,1063809.0,2019
HAP,1699747.0,2019
HAR,2707702.0,2019
HAS,2006836.0,2019
HAX,1148090.0,2019
HBC,1440922.0,2019
HCD,1332410.0,2019
HDC,1625617.0,2019
HDG,1777389.0,2019
HHS,1824563.0,2019
HID,1757286.0,2019
HII,909476.0,2019
HLG,1125097.0,2019
HMC,1738940.0,2019
HNG,1684526.0,2019
HOT,2096305.0,2019
HPG,2007575.0,2019
HPX,2098576.0,2019
HQC,994882.0,2019
HRC,2014796.0,2019
HSG,624933.0,2019
HSL,1905582.0,2019
HT1,1675149.0,2019
HTI,1717980.0,2019
HTL,1329014.0,2019
HTN,1148665.0,2019
HTT,2141923.0,2019
HTV,1967469.0,2019
HU1,1133927.0,2019
HU3,1038735.0,2019
HUB,2087849.0,2019
HVG,821829.0,2019
HVH,1927068.0,2019
HVX,933398.0,2019
IBC,2007908.0,2019
ICF,704189.0,2019
IDI,1691757.0,2019
IJC,1247256.0,2019
IMP,1923172.0,2019
ITA,1732692.0,2019
ITC,1456683.0,2019
ITD,2132243.0,2019
JVC,1491048.0,2019
KAC,2038288.0,2019
KBC,1648224.0,2019
KDC,1800869.0,2019
KDH,1993526.0,2019
KHP,1017740.0,2019
KMR,1119604.0,2019
KSB,2226185.0,2019
KSH,1821632.0,2019
L10,1256709.0,2019
LAF,1233346.0,2019
LBM,2048410.0,2019
LCG,1274306.0,2019
LCM,1679069.0,2019
LDG,1503837.0,2019
LEC,1993201.0,2019
LGC,1898740.0,2019
LGL,1130551.0,2019
LHG,1901652.0,2019
LIX,1831334.0,2019
LM8,752623.0,2019
LMH,1719565.0,2019
LSS,1072826.0,2019
MCG,959372.0,2019
MCP,1906094.0,2019
MDG,1951197.0,2019
MHC,2079402.0,2019
MSH,1608477.0,2019
MSN,1995643.0,2019
MWG,1603325.0,2019
NAF,1458206.0,2019
NAV,1567266.0,2019
NBB,1501522.0,2019
NCT,2203378.0,2019
NKG,721615.0,2019
NLG,1976368.0,2019
NNC,1996885.0,2019
NSC,1809371.0,2019
NT2,1755202.0,2019
NTL,1610999.0,2019
NVL,1894610.0,2019
NVT,2218371.0,2019
OPC,2249442.0,2019
PAC,1424391.0,2019
PAN,1757965.0,2019
PC1,1915419.0,2019
PDN,2029392.0,2019
PDR,1558407.0,2019
PET,1689217.0,2019
PGC,1644013.0,2019
PGD,1994949.0,2019
PHC,1031174.0,2019
PHR,2139718.0,2019
PIT,773904.0,2019
PJT,1530408.0,2019
PLP,1039614.0,2019
PLX,1872010.0,2019
PME,1988485.0,2019
PMG,2084227.0,2019
PNC,1095580.0,2019
PNJ,1835920.0,2019
POM,1022939.0,2019
POW,1898893.0,2019
PPC,2068396.0,2019
PPI,1077537.0,2019
PTB,1722641.0,2019
PTC,1687748.0,2019
PTL,1855857.0,2019
PVD,1615080.0,2019
PVT,1692105.0,2019
PXI,911653.0,2019
PXS,1337722.0,2019
PXT,907606.0,2019
QBS,1409424.0,2019
QCG,1422250.0,2019
RAL,1185423.0,2019
RDP,758410.0,2019
REE,2514942.0,2019
RIC,1848921.0,2019
ROS,2151194.0,2019
S4A,1992991.0,2019
SAB,2288248.0,2019
SAM,1753374.0,2019
SAV,1839752.0,2019
SBA,1941398.0,2019
SBT,1634188.0,2019
SBV,1775677.0,2019
SC5,1021825.0,2019
SCD,2200805.0,2019
SCR,1366467.0,2019
SCS,2367460.0,2019
SFC,2347544.0,2019
SFG,1224136.0,2019
SFI,2508244.0,2019
SGN,2180445.0,2019
SGR,1881981.0,2019
SGT,2118966.0,2019
SHA,923011.0,2019
SHI,823767.0,2019
SHP,1971530.0,2019
SII,1771925.0,2019
SJD,2042341.0,2019
SJF,1479030.0,2019
SJS,1663064.0,2019
SKG,2144724.0,2019
SMA,1663285.0,2019
SMB,1935773.0,2019
SMC,1250236.0,2019
SPM,1339909.0,2019
SRC,1341319.0,2019
SRF,1330800.0,2019
SSC,1847679.0,2019
ST8,2155107.0,2019
STG,2104134.0,2019
STK,1494736.0,2019
SVC,1725426.0,2019
SVI,1444791.0,2019
SVT,2554634.0,2019
SZC,2311257.0,2019
SZL,2255468.0,2019
TAC,1163343.0,2019
TBC,2171200.0,2019
TCD,1410345.0,2019
TCL,1984184.0,2019
TCM,1427144.0,2019
TCO,2314031.0,2019
TCR,616357.0,2019
TCT,2163854.0,2019
TDC,699832.0,2019
TDG,1115440.0,2019
TDH,1521703.0,2019
TDM,2100358.0,2019
TDW,1665023.0,2019
TEG,2077625.0,2019
TGG,1870912.0,2019
THG,1718421.0,2019
THI,1735817.0,2019
TIE,2014942.0,2019
TIP,2125571.0,2019
TIX,2434833.0,2019
TLD,1292434.0,2019
TLG,2163661.0,2019
TLH,1384339.0,2019
TMP,2216160.0,2019
TMS,2239498.0,2019
TMT,1007706.0,2019
TNA,1360301.0,2019
TNC,2060185.0,2019
TNI,1943134.0,2019
TNT,1366611.0,2019
TPC,1287637.0,2019
TRA,2018002.0,2019
TRC,1892074.0,2019
TS4,596843.0,2019
TSC,1744426.0,2019
TTB,1738445.0,2019
TTE,1881662.0,2019
TTF,917355.0,2019
TVT,1658827.0,2019
TYA,1495219.0,2019
UDC,1470503.0,2019
UIC,1878661.0,2019
VAF,1742954.0,2019
VCF,2050669.0,2019
VDP,1575603.0,2019
VFG,1589078.0,2019
VHC,1920554.0,2019
VHG,1883491.0,2019
VHM,2245882.0,2019
VIC,2297586.0,2019
VID,1340307.0,2019
VIP,2134609.0,2019
VIS,1355271.0,2019
VJC,1875367.0,2019
VMD,1038997.0,2019
VNE,2102650.0,2019
VNG,2219529.0,2019
VNL,1888050.0,2019
VNM,2352922.0,2019
VNS,1635711.0,2019
VOS,598176.0,2019
VPD,1946536.0,2019
VPG,1061100.0,2019
VPH,1785819.0,2019
VPI,1805301.0,2019
VPK,1669132.0,2019
VPS,1486983.0,2019
VRC,1782211.0,2019
VRE,2658473.0,2019
VSC,2123598.0,2019
VSH,1908537.0,2019
VSI,2007085.0,2019
VTB,1278946.0,2019
VTO,1614223.0,2019
YBM,1164962.0,2019
YEG,2055773.0,2019
NOT_INVEST,3063289.0,2018
AAA,1130020.0,2018
AAM,1525451.0,2018
ABT,1677420.0,2018
ACC,1482055.0,2018
ACL,847558.0,2018
ADS,889762.0,2018
AGF,720495.0,2018
AGM,882138.0,2018
AMD,1544539.0,2018
ANV,1469014.0,2018
APC,2025935.0,2018
ASM,1642396.0,2018
ASP,1099327.0,2018
AST,1907003.0,2018
ATG,1724663.0,2018
BBC,1766477.0,2018
BCE,1078826.0,2018
BCG,1067614.0,2018
BFC,1105790.0,2018
BHN,2098296.0,2018
BMC,1722118.0,2018
BMP,1801673.0,2018
BRC,1511175.0,2018
BTP,1225283.0,2018
BTT,1887641.0,2018
BWE,1482597.0,2018
C32,1880562.0,2018
C47,503572.0,2018
CAV,1406708.0,2018
CCI,2114752.0,2018
CCL,1680482.0,2018
CDC,1517470.0,2018
CDO,1775864.0,2018
CEE,1378240.0,2018
CHP,1889624.0,2018
CIG,984296.0,2018
CII,1583778.0,2018
CLC,1448835.0,2018
CLG,1562430.0,2018
CLL,2051034.0,2018
CLW,1426155.0,2018
CMG,1574130.0,2018
CMT,1296705.0,2018
CMV,932997.0,2018
CMX,647362.0,2018
CNG,1806801.0,2018
COM,1760078.0,2018
CSM,838389.0,2018
CSV,1821192.0,2018
CTD,1747904.0,2018
CTF,961718.0,2018
CTI,1535753.0,2018
CVT,1460170.0,2018
D2D,1818076.0,2018
DAG,1223759.0,2018
DAH,1287986.0,2018
DAT,1819670.0,2018
DCL,1593863.0,2018
DCM,1469767.0,2018
DGW,1228737.0,2018
DHA,2092011.0,2018
DHC,1710075.0,2018
DHG,1805458.0,2018
DHM,1072898.0,2018
DIC,757454.0,2018
DIG,1533840.0,2018
DLG,1015465.0,2018
DMC,1882494.0,2018
DPM,2112819.0,2018
DPR,2244813.0,2018
DQC,1545537.0,2018
DRC,1498043.0,2018
DRH,1652515.0,2018
DRL,2059431.0,2018
DSN,2077833.0,2018
DTA,1553597.0,2018
DTL,1616059.0,2018
DTT,1624942.0,2018
DVP,2072544.0,2018
DXG,1882358.0,2018
DXV,1072701.0,2018
ELC,1570673.0,2018
EMC,1301557.0,2018
EVE,1301297.0,2018
EVG,1549927.0,2018
FCM,1114207.0,2018
FCN,1304816.0,2018
FDC,2013244.0,2018
FIT,2001544.0,2018
FLC,1385064.0,2018
FMC,1214653.0,2018
FPT,1655969.0,2018
FTM,1203618.0,2018
GAS,2151474.0,2018
GDT,1785405.0,2018
GEX,1670244.0,2018
GIL,1280530.0,2018
GMC,1034902.0,2018
GMD,1992199.0,2018
GSP,1711324.0,2018
GTA,1475764.0,2018
GTN,1737438.0,2018
HAG,1473385.0,2018
HAH,1684938.0,2018
HAI,1258163.0,2018
HAP,1527869.0,2018
HAR,2466857.0,2018
HAS,1538793.0,2018
HAX,1197138.0,2018
HBC,1292276.0,2018
HCD,1220611.0,2018
HDC,1437519.0,2018
HDG,1729077.0,2018
HHS,1577755.0,2018
HID,1561510.0,2018
HII,1095086.0,2018
HLG,1040019.0,2018
HMC,1644345.0,2018
HNG,1252057.0,2018
HOT,1895195.0,2018
HPG,1977911.0,2018
HQC,1028751.0,2018
HRC,1923562.0,2018
HSG,1001163.0,2018
HT1,1393111.0,2018
HTI,1556943.0,2018
HTL,1356648.0,2018
HTT,1751422.0,2018
HTV,1842344.0,2018
HU1,1046737.0,2018
HU3,976171.0,2018
HVG,668501.0,2018
HVX,801242.0,2018
IBC,1987067.0,2018
ICF,763469.0,2018
IDI,1675916.0,2018
IJC,1155884.0,2018
IMP,1821111.0,2018
ITA,1609908.0,2018
ITC,1477340.0,2018
ITD,1983581.0,2018
JVC,1513596.0,2018
KAC,1997608.0,2018
KBC,1515924.0,2018
KDC,1768929.0,2018
KDH,1849890.0,2018
KHA,2264914.0,2018
KHP,956540.0,2018
KMR,1198386.0,2018
KSA,1479985.0,2018
KSB,2226757.0,2018
KSH,1431862.0,2018
L10,1034674.0,2018
LAF,1115064.0,2018
LBM,1852764.0,2018
LCG,1349740.0,2018
LCM,1524471.0,2018
LDG,1648467.0,2018
LEC,1996896.0,2018
LGC,1633131.0,2018
LGL,879464.0,2018
LHG,1801648.0,2018
LIX,1702045.0,2018
LM8,696827.0,2018
LSS,1047191.0,2018
MCG,939004.0,2018
MCP,1674373.0,2018
MDG,1647107.0,2018
MHC,2033112.0,2018
MSN,1817488.0,2018
MWG,1398795.0,2018
NAF,1454197.0,2018
NAV,1279662.0,2018
NBB,1437137.0,2018
NCT,2086716.0,2018
NKG,957950.0,2018
NLG,1835092.0,2018
NNC,1932559.0,2018
NSC,1675313.0,2018
NT2,1643163.0,2018
NTL,1297655.0,2018
NVL,1812883.0,2018
NVT,1688560.0,2018
OPC,2188924.0,2018
PAC,1445746.0,2018
PAN,1925885.0,2018
PC1,1704256.0,2018
PDN,1841937.0,2018
PDR,1503187.0,2018
PET,1623842.0,2018
PGC,1456385.0,2018
PGD,1838060.0,2018
PHR,2038094.0,2018
PIT,638652.0,2018
PJT,1375924.0,2018
PLP,1474076.0,2018
PLX,1819496.0,2018
PME,1884809.0,2018
PMG,1898862.0,2018
PNC,1123308.0,2018
PNJ,1832250.0,2018
POM,1482999.0,2018
PPC,1735925.0,2018
PPI,1138379.0,2018
PTB,1610199.0,2018
PTC,1075187.0,2018
PTL,1535000.0,2018
PVD,1444593.0,2018
PVT,1649273.0,2018
PXI,925832.0,2018
PXS,1253395.0,2018
PXT,967029.0,2018
QBS,1039646.0,2018
QCG,1517668.0,2018
RAL,1325930.0,2018
RDP,1068351.0,2018
REE,2205393.0,2018
RIC,1666818.0,2018
ROS,2193747.0,2018
S4A,1820245.0,2018
SAB,2125609.0,2018
SAM,1650442.0,2018
SAV,1723130.0,2018
SBA,1800017.0,2018
SBT,1408941.0,2018
SBV,1966514.0,2018
SC5,835647.0,2018
SCD,1920126.0,2018
SCR,1416347.0,2018
SFC,1987612.0,2018
SFG,1139023.0,2018
SFI,2160389.0,2018
SGR,1784866.0,2018
SGT,1935615.0,2018
SHA,899920.0,2018
SHI,777197.0,2018
SHP,1811783.0,2018
SII,1685524.0,2018
SJD,1951699.0,2018
SJF,1641199.0,2018
SJS,1582785.0,2018
SKG,2027666.0,2018
SMA,1506604.0,2018
SMC,1040740.0,2018
SPM,1231980.0,2018
SRC,1083842.0,2018
SRF,1208139.0,2018
