SYMBOL,SUM_RANK,TIME
NOT_INVEST,3161178.0,2024
AAA,2289187.0,2024
AAM,2365172.0,2024
ABR,2459628.0,2024
ABS,2340682.0,2024
ABT,2395035.0,2024
ACC,1403151.0,2024
ACG,1736656.0,2024
ACL,1723852.0,2024
ADG,2370045.0,2024
ADP,1394757.0,2024
ADS,1668358.0,2024
AGG,1195104.0,2024
AGM,787877.0,2024
ANV,1363661.0,2024
APC,2356174.0,2024
APH,2472523.0,2024
ASG,1856782.0,2024
ASM,1720962.0,2024
ASP,1163690.0,2024
AST,1214381.0,2024
BAF,730464.0,2024
BBC,2447729.0,2024
BCE,1969984.0,2024
BCG,1685068.0,2024
BCM,1204813.0,2024
BFC,1255704.0,2024
BHN,1650182.0,2024
BKG,2794353.0,2024
BMC,1918435.0,2024
BMP,1225863.0,2024
BRC,2001013.0,2024
BTP,2345895.0,2024
BTT,1993122.0,2024
BWE,1165173.0,2024
C32,2616773.0,2024
C47,1083093.0,2024
CAV,1110163.0,2024
CCI,1336184.0,2024
CCL,1827724.0,2024
CDC,890669.0,2024
CHP,1208541.0,2024
CIG,1556135.0,2024
CII,1183930.0,2024
CLC,1513420.0,2024
CLL,1460319.0,2024
CLW,1090526.0,2024
CMV,1868040.0,2024
CMX,1858951.0,2024
CNG,1322944.0,2024
COM,1974274.0,2024
CRC,2169489.0,2024
CRE,2097354.0,2024
CSM,1264022.0,2024
CSV,1411532.0,2024
CTD,1722682.0,2024
CTF,890647.0,2024
CTI,1106448.0,2024
CTR,1021216.0,2024
CVT,822645.0,2024
D2D,1569862.0,2024
DAH,2640408.0,2024
DAT,2047646.0,2024
DBC,1088496.0,2024
DBD,1202373.0,2024
DBT,1681178.0,2024
DC4,1696263.0,2024
DCL,1509437.0,2024
DCM,1363873.0,2024
DGC,1148159.0,2024
DGW,885913.0,2024
DHA,1568114.0,2024
DHC,1379586.0,2024
DHG,1278188.0,2024
DHM,1900768.0,2024
DIG,1082456.0,2024
DLG,623502.0,2024
DMC,1615615.0,2024
