SYMBOL,SUM_RANK,TIME
NOT_INVEST,3135817.0,2020
AAA,1479334.0,2020
AAM,1975874.0,2020
ABS,1712265.0,2020
ABT,2085444.0,2020
ACC,1695733.0,2020
ACL,1490653.0,2020
ADS,1059212.0,2020
AGG,1483306.0,2020
AGM,1754422.0,2020
AMD,2146542.0,2020
ANV,1865674.0,2020
APC,1899459.0,2020
ASM,1451132.0,2020
ASP,1240551.0,2020
AST,2032119.0,2020
ATG,1944608.0,2020
BBC,1952034.0,2020
BCE,1455502.0,2020
BCG,876168.0,2020
BFC,1148911.0,2020
BHN,1964634.0,2020
BMC,2076396.0,2020
BMP,2023345.0,2020
BRC,1967406.0,2020
BTP,1905874.0,2020
BTT,2031870.0,2020
BWE,1524503.0,2020
C32,2134985.0,2020
C47,457920.0,2020
CAV,1365530.0,2020
CCI,2062745.0,2020
CCL,1799193.0,2020
CDC,1457564.0,2020
CEE,1360760.0,2020
CHP,1667984.0,2020
CIG,1510149.0,2020
CII,1200723.0,2020
CKG,917719.0,2020
CLC,1707340.0,2020
CLG,740873.0,2020
CLL,2166863.0,2020
CLW,1650171.0,2020
CMG,1735416.0,2020
CMV,1088731.0,2020
CMX,1030256.0,2020
CNG,1712155.0,2020
COM,1876255.0,2020
CRC,1606309.0,2020
CRE,1811328.0,2020
CSM,1098926.0,2020
CSV,1847799.0,2020
CTD,1877762.0,2020
CTF,1297600.0,2020
CTI,1312449.0,2020
CVT,1619684.0,2020
D2D,1999400.0,2020
DAG,1201537.0,2020
DAH,1735302.0,2020
DAT,1741454.0,2020
DBC,1076225.0,2020
DBD,1737647.0,2020
DCL,1511079.0,2020
DCM,1779198.0,2020
DGW,1287780.0,2020
DHA,2138703.0,2020
DHC,1569773.0,2020
DHG,1913696.0,2020
DHM,2061157.0,2020
DIC,1110638.0,2020
DIG,1692442.0,2020
DLG,1343792.0,2020
DMC,1896242.0,2020
DPG,848891.0,2020
DPM,2098286.0,2020
DPR,2277800.0,2020
DQC,1652490.0,2020
DRC,1568740.0,2020
DRH,1496564.0,2020
