SYMBOL,SUM_RANK,TIME
NOT_INVEST,2832388.0,2017
AAA,973734.0,2017
AAM,1363916.0,2017
ABT,1554431.0,2017
ACC,1500468.0,2017
ACL,816536.0,2017
ADS,1082071.0,2017
AGF,849548.0,2017
AGM,882984.0,2017
AMD,1358317.0,2017
ANV,736615.0,2017
APC,1678969.0,2017
ASM,1738627.0,2017
ASP,1245757.0,2017
ATG,1360541.0,2017
BBC,1592642.0,2017
BCE,784380.0,2017
BCG,1112207.0,2017
BCI,1563650.0,2017
BFC,1207707.0,2017
BGM,1521244.0,2017
BHN,1927546.0,2017
BHS,1235229.0,2017
BMC,1489071.0,2017
BMP,1618490.0,2017
BRC,1330280.0,2017
BTP,1317186.0,2017
BTT,1478296.0,2017
C32,1987514.0,2017
C47,456801.0,2017
CAV,1377900.0,2017
CCI,2036519.0,2017
CCL,1591198.0,2017
CDC,1609700.0,2017
CDO,1568049.0,2017
CHP,1392916.0,2017
CIG,825943.0,2017
CII,1658213.0,2017
CLC,1394397.0,2017
CLG,1500752.0,2017
CLL,1580966.0,2017
CLW,1205790.0,2017
CMG,1494805.0,2017
CMT,1052540.0,2017
CMV,979967.0,2017
CMX,738741.0,2017
CNG,1530553.0,2017
COM,1632192.0,2017
CSM,1068187.0,2017
CSV,1534248.0,2017
CTD,1867583.0,2017
CTI,1109519.0,2017
CYC,550776.0,2017
D2D,1303441.0,2017
DAG,1366218.0,2017
DAH,1347000.0,2017
DAT,1932121.0,2017
DCL,1618078.0,2017
DCM,1265260.0,2017
DGW,1244607.0,2017
DHA,1787912.0,2017
DHC,1709474.0,2017
DHG,1586922.0,2017
DHM,1858882.0,2017
DIC,821414.0,2017
DIG,1260935.0,2017
DLG,1431262.0,2017
DMC,1604564.0,2017
DPM,2133307.0,2017
DPR,1946483.0,2017
DQC,1547232.0,2017
DRC,1305734.0,2017
DRH,1814860.0,2017
DRL,1616542.0,2017
DSN,1749338.0,2017
DTA,1100357.0,2017
DTL,1232343.0,2017
DTT,1442290.0,2017
DVP,1694863.0,2017
DXG,1713159.0,2017
DXV,1207982.0,2017
ELC,1390974.0,2017
EMC,1156330.0,2017
EVE,1513050.0,2017
FCM,1231740.0,2017
FCN,1085572.0,2017
FDC,1923257.0,2017
FIT,1988334.0,2017
FLC,1841583.0,2017
FMC,1172573.0,2017
FPT,1320488.0,2017
FTM,884057.0,2017
GAS,1820528.0,2017
GDT,1668030.0,2017
GIL,1290239.0,2017
GMC,1039200.0,2017
GMD,1563031.0,2017
GSP,1649957.0,2017
GTA,1834458.0,2017
GTN,1630795.0,2017
HAG,1467545.0,2017
HAH,1350296.0,2017
HAI,1279683.0,2017
HAP,1182058.0,2017
HAR,1925022.0,2017
HAS,1777858.0,2017
HAX,1429292.0,2017
HBC,1306453.0,2017
HCD,1290616.0,2017
HDC,1481347.0,2017
HDG,1449180.0,2017
HHS,1605120.0,2017
HID,1357308.0,2017
HLG,1046813.0,2017
HMC,1937069.0,2017
HNG,997054.0,2017
HOT,1561930.0,2017
HPG,1805291.0,2017
HQC,872759.0,2017
HRC,1480436.0,2017
HSG,1210837.0,2017
HT1,1189016.0,2017
HTI,1259744.0,2017
HTL,1487848.0,2017
HTV,1748700.0,2017
HU1,1423109.0,2017
HU3,996534.0,2017
HVG,698119.0,2017
HVX,862286.0,2017
ICF,664314.0,2017
IDI,1764709.0,2017
IJC,1360556.0,2017
IMP,1553801.0,2017
ITA,1562775.0,2017
ITC,1286267.0,2017
ITD,2002384.0,2017
JVC,1308149.0,2017
KAC,1622078.0,2017
KBC,1387521.0,2017
KDC,1559620.0,2017
KDH,1567291.0,2017
KHA,2092489.0,2017
KHP,1133116.0,2017
KMR,1281093.0,2017
KSA,1336846.0,2017
KSB,2168814.0,2017
KSH,1685707.0,2017
L10,1033547.0,2017
LAF,1558754.0,2017
LBM,1796128.0,2017
LCG,1208803.0,2017
LCM,1464314.0,2017
LDG,981433.0,2017
LGC,1307024.0,2017
LGL,1121771.0,2017
LHG,1849514.0,2017
LIX,1461699.0,2017
LM8,834041.0,2017
LSS,1288723.0,2017
MCG,754679.0,2017
MCP,1421915.0,2017
MDG,1243921.0,2017
MHC,2132939.0,2017
MSN,1203247.0,2017
MWG,1468938.0,2017
NAF,1624365.0,2017
NAV,1187469.0,2017
NBB,1271778.0,2017
NCT,1765708.0,2017
NKG,1044298.0,2017
NLG,1606614.0,2017
NNC,1671716.0,2017
NSC,1536223.0,2017
NT2,1229616.0,2017
NTL,1480954.0,2017
NVL,1665901.0,2017
NVT,1397467.0,2017
OPC,1641912.0,2017
PAC,1462784.0,2017
PAN,1770138.0,2017
PC1,1641001.0,2017
PDN,1359859.0,2017
PDR,1295669.0,2017
PET,1968192.0,2017
PGC,1799030.0,2017
PGD,1466887.0,2017
PHR,1804610.0,2017
PIT,778717.0,2017
PJT,1204607.0,2017
PNC,1172659.0,2017
PNJ,1415109.0,2017
POM,1044381.0,2017
PPC,1199989.0,2017
PPI,1012127.0,2017
PTB,1642429.0,2017
PTC,961942.0,2017
PTL,1469830.0,2017
PVD,1248819.0,2017
PVT,1315682.0,2017
PXI,554844.0,2017
PXS,1383900.0,2017
PXT,968709.0,2017
QBS,987017.0,2017
QCG,1278499.0,2017
RAL,1365156.0,2017
RDP,1023406.0,2017
REE,2057652.0,2017
RIC,1358752.0,2017
ROS,1952886.0,2017
S4A,1326570.0,2017
SAB,1834151.0,2017
SAM,1932786.0,2017
SAV,1988355.0,2017
SBA,1379021.0,2017
SBT,1577862.0,2017
SC5,803390.0,2017
SCD,2206868.0,2017
SCR,1419034.0,2017
SFC,2060203.0,2017
SFG,1214645.0,2017
SFI,2265074.0,2017
SGT,1672467.0,2017
SHA,1057229.0,2017
SHI,1338161.0,2017
SHP,1376317.0,2017
SII,1309716.0,2017
SJD,1600976.0,2017
SJS,1308867.0,2017
SKG,1752529.0,2017
SMA,884520.0,2017
SMC,1011840.0,2017
SPM,1218315.0,2017
SRC,1079899.0,2017
SRF,1330232.0,2017
SSC,1512956.0,2017
ST8,2164474.0,2017
STG,1448239.0,2017
STK,975790.0,2017
STT,1391680.0,2017
SVC,1935992.0,2017
SVI,1334972.0,2017
SVT,2176811.0,2017
SZL,1876573.0,2017
TAC,1333953.0,2017
TBC,1743989.0,2017
TCL,1504901.0,2017
TCM,1322260.0,2017
TCO,1605390.0,2017
TCR,1107218.0,2017
TCT,1778394.0,2017
TDC,675290.0,2017
TDH,1729266.0,2017
TDW,1314777.0,2017
THG,1368648.0,2017
TIC,1572582.0,2017
TIE,1959479.0,2017
TIP,1890157.0,2017
TIX,1938123.0,2017
TLG,1490141.0,2017
TLH,1409187.0,2017
TMP,1577028.0,2017
TMS,1804106.0,2017
TMT,1455626.0,2017
TNA,1620910.0,2017
TNC,1618766.0,2017
TNT,1442587.0,2017
TPC,1418351.0,2017
TRA,1736667.0,2017
TRC,1497307.0,2017
TS4,805710.0,2017
TSC,1524316.0,2017
TTF,961292.0,2017
TV1,784311.0,2017
TYA,1476447.0,2017
UDC,1595153.0,2017
UIC,1480850.0,2017
VAF,1463267.0,2017
VCF,1713443.0,2017
VFG,1781098.0,2017
VHC,1436624.0,2017
VHG,1602686.0,2017
VIC,1871340.0,2017
VID,1454760.0,2017
VIP,1768487.0,2017
VIS,1230198.0,2017
VJC,1391629.0,2017
VMD,1272769.0,2017
VNA,721334.0,2017
VNE,1462340.0,2017
VNG,1346107.0,2017
VNL,1278727.0,2017
