CT,ValHar1,HarNgn1,CtyNgn1,Values1,ProNgn1,ValHar2,HarNgn2,CtyNgn2,Values2,ProNgn2,ValHar3,HarNgn3,CtyNgn3,Values3,ProNgn3,Slope,Intercept,MixedHarNgn123
+7*14+14*24-4*12,1.392282317332497,1.4927731762959267,APH_PNC,1.7447282702450022_1.6991009302020639,1.3730790043290042,1.0197649723531022,1.2923854473597398,APH_PNC_HAR_PSH,1.7447282702450022_1.2557109395183903_1.6991009302020639_1.23738789419623,0.9685526656314699,0.7698997956936839,1.3470672373157293,PNC,1.6991009302020639,1.880681818181818,-6.770222653842656e-05,1.386557838245058,1.3723630028445897
+7*14+14*24-12*25,1.1823853752975406,1.4832408815991822,APH_HAR,1.5131429596810526_1.2452336381904794,0.8188988095238094,1.1499437906969914,1.2751931404253183,APH_HAR,1.5131429596810526_1.2452336381904794,0.8188988095238094,0.7012740484576033,1.326231729788262,APH_HAR_PMG_PNC_ITC_AAA_TSC,1.2452336381904794_0.9768360697517816_0.8527458693791354_0.8214275785254196_0.97474650723432_1.5131429596810526_0.7539122056179052,0.9806028973370974,-6.66182707736328e-05,1.3691401356951298,1.3559871783374884
+1+7+7+11-0-5,1.3635457479862154,1.4578820958151708,SCD_GTA_CCI_HTV_HMC_TSC,1.5523337828351622_1.9829044899059887_3.3767930579736807_1.6266655858177321_1.7215828286969692_1.4101408020700632,0.9993519076208791,1.114137594593011,1.3313472312048868,SCD_GTA_CCI_HTV_PGC_HAR,1.219180313370839_1.9829044899059887_3.3767930579736807_1.6266655858177321_1.2941411940139884_1.7215828286969692,1.026459090824701,1.0544239223562033,1.2756453696489052,GTA_CCI,1.7215828286969692_1.9829044899059887,1.0373034237038252,-4.189336134173222e-05,1.26108200419809,1.3507658353452991
+7*14+14*24-3*4,1.430783634129937,1.4538706351576154,APH_PNC_ASP_PMG,2.0092957022665545_1.4331226578880905_1.7609509469681537_1.5113291828807758,1.1923953233272906,0.9341619844431792,1.3114071316626317,APH_PNC_ASP_PMG_PSH_HAR_CMV_ITC_TSC,2.0092957022665545_1.002966723071558_1.7609509469681537_1.2582727679636547_0.9947435495905262_1.4331226578880905_1.5113291828807758_1.2616165020928545_0.9923976038348644,0.9371507049507569,0.7707153257814049,1.3532084978748855,PNC,1.7609509469681537,1.880681818181818,-6.607156732730215e-05,1.3907903296198896,1.3702739536448565
+7*14+9*24-2*25,1.0331977327072028,1.4490294282927176,HAR_APH,1.113140999078002_1.150649503572419,0.8188988095238094,0.9330618830954126,1.3169348605829228,HAR,1.150649503572419,0.7723214285714285,0.7056982817509596,1.2731039608053358,HAR_ITC_PSH,1.150649503572419_0.8889986413785161_0.8028612649714173,0.654684217955957,-5.381426380554515e-05,1.2930797757609012,1.3423191660731204
+7*14+14*24-16*21,1.202171723637025,1.4448926046394062,APH_HAR,1.269804601332822_1.209651901533307,0.8188988095238094,0.9921484606658152,1.295566754168959,HAR_PSH_ITC,1.209651901533307_1.0651285621206934_1.1699548690931199,0.654684217955957,0.6434732622728081,1.2979504948312726,ITC_PNC,1.0651285621206934_0.8554549104265774,1.3583409090909089,-7.029500037923578e-05,1.3868658368294366,1.342641516517982
+7*14+9*21-10*12,1.0945359579263398,1.4385449887656492,HAR,1.4895772215296617,0.7723214285714285,1.0934979745251496,1.338707092477341,HAR,1.4895772215296617,0.7723214285714285,0.7532825046650824,1.257179318046609,HAR_ITC,1.4895772215296617_0.7858485197831174,0.8041607142857142,-4.9381941903133404e-05,1.281710125523569,1.3407415515773444
+1*2+1*4-13*21,1.0794931230847877,1.4375397802848229,LM8_HTV_FIT_ASP_HMC_SMC_CDC_TYA_TSC,1.2683304067339949_1.3076146239009838_1.445615411076331_1.6438282059615792_1.3389604056310689_1.1396182864111124_1.5146010152208993_1.1110622767113583_1.1226481083676636,1.0231389465227483,1.0794931230847877,1.2415280292636817,LM8_HTV_ASP_SMC,1.3389604056310689_1.5146010152208993_1.6438282059615792_1.2683304067339949,0.9376805811904134,1.3747063872415315,1.1307311923825696,LM8,1.6438282059615792,1.115942028985507,-4.429062267646703e-05,1.291839052909091,1.2576109168614882
+7*14+14*24-2*22,1.2054221637291467,1.4352681225548924,PNC_APH_PMG_HAR,1.2141135287198002_2.056037095255575_1.2352177229043304_1.9018855679325606,1.1261395808850856,0.7793014824600256,1.286471758562825,PNC_APH_PMG_HAR_SVC_ITC_AAA_CMV_TSC,0.937174839773534_1.9018855679325606_0.9509941765458665_1.2141135287198002_0.9101705850249053_1.054675873841524_2.056037095255575_1.2352177229043304_0.8597423657235945,0.9574227162568154,0.7227892638368463,1.3722321597537634,PNC_ITC,0.9509941765458665_2.056037095255575,1.3583409090909089,-7.05407266904244e-05,1.3997535851303118,1.36190710356433
+7*14+13*30-2*10,1.4618141489100172,1.4333948034318456,,,1.06,1.0383762004733772,1.316368990553848,HAR_ITC,1.2692633551230585_1.0659170779537452,0.8041607142857142,1.0383762004733772,1.2156126166307641,HAR_ITC,1.2692633551230585_1.0659170779537452,0.8041607142857142,-5.5438257202336333e-05,1.3161438501405955,1.3158238664761308
+1*11+7*7-2*10,0.5366703787321463,1.4297247884011868,SCD_HAR,0.6361421139167814_2.0163618896586124,0.9356112637362637,0.5896221810376296,1.3241856882670056,HAR,0.6361421139167814,0.7723214285714285,0.453137757738046,1.2627970539513411,SCD_HAR,0.6361421139167814_2.0163618896586124,0.9356112637362637,-2.5706307194210747e-05,1.1880065827581647,1.3354051168576573
+1*11+7*7-12*22,0.42207263628329295,1.428005973081845,SCD_HAR_TSC_TCO,0.630791987673703_1.2566656669285825_0.4675169738272369_0.6077549051611275,1.1089343962555813,0.42207263628329295,1.3297075777860532,HAR,0.630791987673703,0.7723214285714285,0.37663587593970416,1.260714263958093,SCD_HAR_SZL,0.630791987673703_1.2566656669285825_0.4191562758650108,1.0252559940059942,-1.7753321872050745e-05,1.1565719053419545,1.335991434736971
+1*12-12*24-13*21,0.9300371204041227,1.4263872041909562,LM8_GTA_CDC_HTV_HMC_HU1_TCO,0.9831144104791918_1.504205156588883_2.194367199375314_1.0852925091446999_1.197837125638471_1.0692011219610298_0.9791073686109742,1.1635238315516165,0.5256776509153466,1.23835337864055,LM8_GTA_HTV_HU1_PET_CTD_SMC_SC5_PGC_HAS,0.684981916369202_1.504205156588883_0.9831144104791918_0.865003302432653_0.6625308394712726_2.194367199375314_0.5460230777313317_0.5962934735208314_0.6505626192738005_1.0852925091446999,1.0172501541487535,1.0317968000288706,1.2012734361174973,LM8_GTA,1.504205156588883_2.194367199375314,1.0299537731134434,-2.940552724826087e-05,1.2118732071753227,1.2814785654811318
+7*7+9*24-17*19,0.7092183918103829,1.4261225945322413,SCD,2.043169064349347,1.098901098901099,0.6374055815671869,1.321978528976257,,,1.06,0.5599843880591668,1.258458222348983,SCD_HAR,0.6361421139167814_2.043169064349347,0.9356112637362637,-5.6515788885936804e-05,1.3223953228659098,1.3319912500086641
+2*7+14*24-2*2,0.5011009221074267,1.4260902656736265,PNC_APH_VTB_PMG_TDW_VAF,0.6307229868010985_1.5303755275389028_0.5215368118511134_0.8708379892482677_0.5440254893277663_0.5369881147400011,1.224097224251809,0.47548291557354494,1.264933103839501,PNC_APH_PMG_TDW_VAF_COM_SFC,0.5369881147400011_1.5303755275389028_0.5440254893277663_0.4951201837389129_0.47996417434038785_0.8708379892482677_0.5215368118511134,1.2138348815600335,0.20978513882754787,1.2208141163454862,VTB_PMG_TDW_VAF_CMV_COM_SFC_EVE_HTI_SCD_SVC_TIX,0.22562578131418207_0.49523691294626393_0.2744395134378507_0.2540878489301053_0.6307229868010985_0.5440254893277663_0.47996417434038785_0.5369881147400011_0.5215368118511134_0.4951201837389129_0.3702436310169316_0.27396720751629017,1.053379141440395,-4.882503748286647e-05,1.290834758115294,1.2981960434846382
-4*21*30/13/27,2.5486664475561094,1.425285402619968,PIT_TCR_FRT,40.936458001444606_40.557747105605_114.21612048153256,0.9946962603209721,83.04299901189107,1.1500670902276138,,,1.06,83.04299901189107,1.156618869857198,,,1.06,-8.92673652116737e-06,1.1505151449771596,1.2316699810176739
+7*14+14*20-2*20,1.4657747580766083,1.423961768888919,APH,2.0301945772746492,0.8654761904761904,1.5152190603136964,1.2837657112003336,APH,2.0301945772746492,0.8654761904761904,0.978352059319098,1.284302201602024,APH_HAR_ITC,2.0301945772746492_1.3913186375054236_1.3556245853358706,0.8245992063492062,-6.571741272526025e-05,1.4026828011360586,1.3275174380037866
+1+7+7+33-0-25,1.4698021386153846,1.423905926945021,SCD_GTA_CCI_HMC,1.568236837547479_1.939767590363771_2.163519639346723_1.7443970885322764,1.049213562452674,0.9611148044966861,1.3257334458801615,GTA_CCI_HTV_HAR_PGC_MHC_LHG,1.7443970885322764_1.939767590363771_1.2852341990104774_1.4343855766771814_0.9646457998899157_1.058470659868986_1.226154769825533,1.0122661617198765,1.2512366543006541,1.2150713395786275,GTA,1.939767590363771,0.9439655172413794,-5.2482846547983904e-05,1.3021136875998,1.3160261424520308
+7*14+10*24-11*16,1.1832146063659676,1.4229378432620505,HAR_PMG,1.2582727679636547_1.2244535151302736,0.8792001574411668,0.8870846153001527,1.3844774338090085,HAR_PMG_TDG_ITC_PSH,1.2582727679636547_1.0316021447542363_0.9344939517990662_1.2244535151302736_1.0071725248464252,0.851844489853937,0.7304371788294248,1.360042764894895,ITC,1.0071725248464252,0.836,-5.215851918593261e-05,1.324868645841026,1.388672507856044
+1*11+7*7-10*12,0.48367491298427306,1.422706463783804,SCD_HAR,0.6361421139167814_0.639570133270073,0.9356112637362637,0.4172537181357735,1.3209691309180958,HAR_VSI,0.6361421139167814_0.42191590420110925,0.9157306067588327,0.4172537181357735,1.2156126166307641,HAR_VSI,0.6361421139167814_0.42191590420110925,0.9157306067588327,-1.8693168021117587e-05,1.1585584866999439,1.3143274983096618
+1+7+7+11+29-4,1.5105598548810861,1.4221720318578361,SCD_GTA_APH_CCI_HTV_HMC_PAN,1.5356300874427287_1.9343841766867218_4.137755781798628_1.9876410713158181_1.7332338695309324_1.8213914832896398_1.5432682390159682,1.0360367920470428,1.162093625001847,1.3118717488614462,SCD_GTA_CCI_HTV_PGC_HAR,1.2909512751479897_1.9876410713158181_4.137755781798628_1.7332338695309324_1.33956550923935_1.8213914832896398,1.026459090824701,1.209281366978134,1.2454073872808638,GTA,1.9876410713158181,0.9439655172413794,-4.7517776764352755e-05,1.3012928858324704,1.3225358211528495
+1+7+7+30-0-11,1.458288430644152,1.4218662115184002,SCD_GTA_CCI_HTV_HMC,1.6264553111014686_2.096365319509244_2.455022354362113_1.7181365893450689_1.8091020290195996,1.0527041832954727,1.0083963654551384,1.3155224029905108,SCD_GTA_CCI_HTV_PGC_HAR_MHC_LHG,1.0218909791829325_2.096365319509244_2.455022354362113_1.7181365893450689_1.1012196568807344_1.8091020290195996_1.3030205020495607_1.4472292924453924,1.0230955288675292,1.2496891787674134,1.2150713395786275,GTA,2.096365319509244,0.9439655172413794,-5.6558891781656e-05,1.3331280421862808,1.3120763629891623
+7*7+24*24-16*17,0.6179020579815313,1.4214318353199205,SCD_PNC_DBT_APH_CMV_HAR,0.6361421139167814_0.6812456342645157_0.8124256795602959_2.5123155636616636_1.5733750839808118_0.7606541132063027,1.1201495032745032,0.50493214113995,1.3064801237422927,SCD_PNC_DBT_CMV_HAR_TDW,0.6361421139167814_0.6812456342645157_1.5733750839808118_2.5123155636616636_0.8124256795602959_0.5769443063044172,1.1915497300318727,0.50493214113995,1.253091703637653,PNC_TDW,1.5733750839808118_0.5769443063044172,1.5872796846011128,-4.7922273694835716e-05,1.299181705224947,1.3233595785148695
+7*7+24*24-17*18,0.6179429194309733,1.4214318353199205,SCD_PNC_DBT_APH_CMV_HAR,0.6361421139167814_0.6812478412617251_0.8125117462729969_2.533995962340827_1.5775147102923115_0.7607030114812026,1.1201495032745032,0.5049324223734801,1.3064801237422927,SCD_PNC_DBT_CMV_HAR_TDW,0.6361421139167814_0.6812478412617251_1.5775147102923115_2.533995962340827_0.8125117462729969_0.576945543312534,1.1915497300318727,0.5049324223734801,1.253091703637653,PNC_TDW,1.5775147102923115_0.576945543312534,1.5872796846011128,-4.778912351005766e-05,1.2989780482219595,1.3233595785148695
+1*11+7*7-3*30,0.5167204634767955,1.4211143516538824,SCD_TSC_APH_HAR_FIT,0.6361421139167814_0.5866677404166951_2.173996173506577_0.6548513275822361_0.686278709534933,0.8678784679960267,0.49391218742814536,1.3221185591350202,SCD_HAR,0.6361421139167814_2.173996173506577,0.9356112637362637,0.3982949622950598,1.2598344627617721,SCD_TSC_HAR_VSI_PTC,0.6361421139167814_0.4170089941405348_2.173996173506577_0.4163065642555289_0.686278709534933,0.9199869199087912,-2.7687047081989865e-05,1.1842470604854514,1.3310911618604324
+1*11+7*7-0*25,0.5934841006577811,1.4208856385551083,SCD_TSC_HAR,0.6577304509241123_0.6054090321449258_1.7033047277161506,0.8679376855734794,0.4133632558425395,1.3298845305332203,SCD_HAR_PSH_ITC,0.43499403261293856_1.7033047277161506_0.46182610814261515_0.6054090321449258,0.7657384381922425,0.2745400491384067,1.2218073554393183,HAR_FIT_ITC_VRE_VSI,0.5312682633420269_0.6054090321449258_0.43499403261293856_0.41673934332854035_0.33363371344657244,0.8460647203600384,-2.6242322270745406e-05,1.1806722778157068,1.3191504005172725
+1*25+7*7-0*20,0.5263869053787905,1.4204218175020897,SCD_HAR_HTV,0.5596776961530477_1.717260146637256_0.5963567561144268,0.9792963980463982,0.4359848231119137,1.3318620324149937,SCD_HAR,0.5963567561144268_1.717260146637256,0.9356112637362637,0.36575454782005,1.2676299002738298,SCD_HAR_HTV_SMC,0.5596776961530477_1.717260146637256_0.5963567561144268_0.41288213864148937,0.8671646062271063,-3.251488088647282e-05,1.20780569281074,1.337066107585477
+1+7+7+26-0-24,1.4839932421488458,1.420394768737676,GTA_SCD_CCI_HTV_HMC,1.7766684584950745_1.4927459932663045_2.051111532035992_1.6722501115350703_1.7576269050146192,1.0527041832954727,1.0065454683509225,1.2915611706023926,GTA_CCI_HTV_HAR_MHC_LHG_PGC,1.7576269050146192_2.051111532035992_1.283666878828437_1.6722501115350703_1.0162925849895936_1.101763544485361_1.0157022459469536,1.0122661617198765,1.285898677812088,1.2150713395786275,GTA,2.051111532035992,0.9439655172413794,-5.2611226703498965e-05,1.3024929335117736,1.3036204299676937
+1+7+7+11-5-21,1.3737320899499321,1.4203061515120414,SCD_APH_GTA_CCI_HTV_HMC_PAN,1.4566679784593928_4.275294715304779_1.8870481451485608_1.8947096216769428_1.5625146221933937_1.7333242515257385_1.506611896306959,1.0360367920470428,1.0763687282876844,1.3158378892390592,SCD_GTA_CCI_HTV_PGC_HAR_PET,1.1028419967590237_1.8870481451485608_4.275294715304779_1.5625146221933937_1.2168240319757666_1.7333242515257385_1.2665874765948433,1.0017732973619389,1.118960102817999,1.247462930190368,GTA,1.8870481451485608,0.9439655172413794,-4.77783295498278e-05,1.2983551104740938,1.3241101018365664
+7*7+10*24-0*25,0.6385509615040136,1.4193955846303958,SCD_ASP_TDG_PMG_PSH,0.842437763723265_2.323446549529315_0.6424612375512901_1.0552103122424032_0.9205915196488449,0.957429303587921,0.6771069371831591,1.3536501055963952,SCD_ASP_TDG_PMG,0.9205915196488449_2.323446549529315_0.842437763723265_1.0552103122424032,1.1078538231607906,0.678763403997985,1.2491041264211782,SCD_ASP_TDG_PMG,0.9205915196488449_2.323446549529315_0.842437763723265_1.0552103122424032,1.1078538231607906,-3.484531781379767e-05,1.2303278333844396,1.3369923309594747
+1*11+7*7-5*8,0.5821479531464866,1.4192159637140875,SCD_APH_TSC_HAR,0.715651507198041_2.1514370832444007_0.6361421139167814_0.8923080424812149,0.8673223117991572,0.6234108634193766,1.2719621078450567,HAR,0.6361421139167814,0.7723214285714285,0.47454949577299005,1.2636069577755402,SCD_HAR_ITC_VSI,0.5125003042739885_2.1514370832444007_0.6361421139167814_0.5072791381070176,0.941590578104691,-3.822967061114338e-05,1.264932717410972,1.314528759082801
+0+7+10+24-11-12,0.5122268951586119,1.418586357599736,D2D_HAR_TNT_SZL_SFC_VRE_HHV_VTO_COM,0.6796870489295256_0.6297065314346865_0.5485487721250506_0.5898054848554811_0.602562970568087_0.531967683390298_0.623600068683883_0.5307866172669996_0.7327823956692368,1.019245869337144,0.5156483352601848,1.2880609400028782,D2D_HAR_TNT_SZL_SFC,0.7327823956692368_0.6796870489295256_0.602562970568087_0.623600068683883_0.6297065314346865,1.0351557829446527,0.5156483352601848,1.2735954002265544,D2D_HAR_TNT_SZL_SFC,0.7327823956692368_0.6796870489295256_0.602562970568087_0.623600068683883_0.6297065314346865,1.0351557829446527,-3.0148636215360092e-05,1.2037955960656617,1.3236462305285905
-24*26*34/13/27,1.2148855911387955,1.4185522071496566,HVX_PIT_TCR_FRT_DQC_SCD_SAV,261.9208809138283_208.0738852321638_2.1305811056685293_452.4488988602399_483.6681181617646_9.531586784355447_12.008598209624909,1.0309564938847162,1.427092337937841,1.2122776051714175,,,1.06,1.427092337937841,1.2240001086477974,,,1.06,-3.454908515646013e-05,1.2428742481508621,1.278319542852997
-4*24*26/13/27,12.090737992237386,1.4180479173054332,FRT_PIT_TCR_HVX_DQC,464.9111319620058_100.93721000697795_13.36558907031426_144.56968137362725_2123.789420927094,0.9197733826993926,15.262034324690726,1.1429827443551275,,,1.06,15.262034324690726,1.14897931395761,,,1.06,-2.3428761167302348e-05,1.194256346422822,1.2242717641540415
+7*14+14*20-12*22,1.7055445067963786,1.417319011186232,PNC_APH,2.1221644132638913_2.1424914775951374,1.3730790043290042,1.2521581687800833,1.2475512484953224,PNC_APH_HAR_ITC,1.3004982545422432_2.1424914775951374_2.1221644132638913_1.525291671674585,1.0886198593073593,0.9123958531687848,1.296017982460887,PNC_ITC,1.3004982545422432_2.1424914775951374,1.3583409090909089,-7.598909228579156e-05,1.4391525057401457,1.316527440335424
+7*14+14*24-17*18,1.2436668411771779,1.41698267165289,APH_PNC_HAR,2.070254443141825_1.2582727679636547_1.3724307504551176,1.1728264790764789,1.1153589460991862,1.3478623226970263,APH_PNC_HAR_TDG,2.070254443141825_1.2582727679636547_1.3724307504551176_1.1670968348475041,1.2068925865800866,0.8854842299745943,1.3488338629791057,PNC,1.3724307504551176,1.880681818181818,-7.271718803316776e-05,1.40203786753614,1.3704752721499265
+6*31+7*7-14*17,0.749791648812437,1.416624752026426,SCD_APH,0.7925082298571445_2.4845851364899953,0.9821886446886448,0.6756470438554363,1.3209691309180958,,,1.06,0.5795502911513448,1.2627970539513411,HAR_VSI_ITC,0.6361421139167814_0.6178054073466972_0.6340577171556319,0.8891537378392217,-4.631227109475571e-05,1.2974922548116683,1.3304854542759332
+6*7+9*24-2*10,0.6600410382953777,1.4156310181061353,SCD,2.045599050660853,1.098901098901099,0.7026608066181176,1.207422130902087,SCD,2.045599050660853,1.098901098901099,0.344505265569693,1.298227337237917,ITC_VSI,0.6242728544581879_0.49942544018996304,0.9475698924731184,-5.024616789046259e-05,1.2907777633757098,1.3015801930778639
+7*14+9*11-2*22,0.9825633045496106,1.414957366475043,HAR_APH_TSC,1.1217453644208915_1.2141135287198002_0.9959919121443699,0.7901293827651766,1.0146379051060863,1.3504548533438012,HAR,1.2141135287198002,0.7723214285714285,0.7268711296873663,1.2657821798466284,HAR_TSC_ITC,1.2141135287198002_0.8475112740965873_0.9959919121443699,0.7803039859397797,-4.592062230683289e-05,1.2680886455741558,1.3409309496326294
+6*24+7*14-12*22,0.8633624180819502,1.4143503731201723,APH_HAR_PMG,1.361467721292882_1.2529226417205763_0.8725383183919477,0.8746255017861747,0.8290964203752539,1.3174031468847076,APH_HAR,1.361467721292882_1.2529226417205763,0.8188988095238094,0.6950491497210982,1.279313413460455,APH_HAR_PMG_ITC,1.361467721292882_1.2529226417205763_0.7744534039942901_0.8725383183919477,0.864969126339631,-5.750607111613092e-05,1.330141821103974,1.3346521176080595
+1+7+7+30-20-24,1.333525952242969,1.4135560883494214,SCD_GTA_CCI_HTV,1.596081122066206_1.9082121369137413_2.400696613524673_1.7299408125579665,1.0600436532438542,1.2173662045285762,1.2761053149766914,GTA_CCI_HTV_HAR,1.7299408125579665_1.9082121369137413_1.3263172975554989_1.596081122066206,0.9783987356614364,1.2173662045285762,1.2205980368259748,GTA,1.9082121369137413,0.9439655172413794,-4.453316734694034e-05,1.2548321242451985,1.29850984845808
